Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.055,2.715,0.34,2.606,2.517,1.547,0.827
TREFHT land_60S90N CRU,DegC,18.834,19.563,-0.729,8.563,8.254,2.132,0.972
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-7.873,-7.507,-0.366,87.631,86.711,13.942,0.987
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.312,-43.231,-4.081,31.829,29.958,16.213,0.873
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.02,25.664,-0.644,14.168,14.323,7.432,0.865
U-850mb global ERA-Interim,m s-1,1.37,1.139,0.231,6.735,5.817,1.923,0.963
U-200mb global ERA-Interim,m s-1,14.754,12.972,1.781,14.973,16.055,3.651,0.981
Z3-500mb global ERA-Interim,hectometer,56.697,56.891,-0.194,2.779,2.614,0.343,0.996
PSL global ERA-Interim,mbar,1011.061,1011.175,-0.113,10.808,8.534,3.486,0.962
PSL global ERA5,mbar,1011.061,1011.256,-0.194,10.808,8.477,3.582,0.96
U-850mb global ERA5,m s-1,1.37,1.146,0.224,6.735,5.842,1.952,0.961
U-200mb global ERA5,m s-1,14.754,12.915,1.839,14.973,15.99,3.71,0.98
Z3-500mb global ERA5,hectometer,56.697,56.885,-0.188,2.779,2.605,0.341,0.996
TREFHT land ERA-Interim,DegC,13.074,14.28,-1.206,20.146,20.329,2.538,0.994
TREFHT global ERA-Interim,DegC,15.548,16.115,-0.568,14.159,14.298,1.897,0.992
TREFHT land ERA5,DegC,13.074,14.385,-1.311,20.146,20.048,2.845,0.992
TREFHT global ERA5,DegC,15.548,16.007,-0.46,14.159,14.176,1.971,0.991
