Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.979,2.685,0.295,2.541,2.214,1.275,0.873
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.769,1.984,-0.216,71.923,73.723,10.637,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.492,-46.398,-2.094,27.259,25.823,12.689,0.89
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.301,25.676,-1.375,12.408,12.27,6.092,0.884
U-850mb global ERA-Interim,m s-1,1.336,1.173,0.163,6.602,5.602,1.567,0.979
U-200mb global ERA-Interim,m s-1,16.694,15.732,0.962,12.756,13.148,2.422,0.986
Z3-500mb global ERA-Interim,hectometer,56.453,56.594,-0.141,2.866,2.691,0.266,0.999
PSL global ERA-Interim,mbar,1011.162,1011.255,-0.092,11.482,8.892,3.37,0.977
PSL global ERA5,mbar,1011.162,1011.349,-0.186,11.482,8.787,3.545,0.974
U-850mb global ERA5,m s-1,1.336,1.152,0.183,6.602,5.583,1.621,0.978
U-200mb global ERA5,m s-1,16.694,15.697,0.998,12.756,13.064,2.465,0.985
Z3-500mb global ERA5,hectometer,56.453,56.582,-0.13,2.866,2.678,0.268,0.999
TREFHT land ERA-Interim,DegC,9.062,9.282,-0.22,18.612,18.883,2.003,0.995
TREFHT global ERA-Interim,DegC,14.222,14.456,-0.233,13.809,14.166,1.627,0.994
TREFHT land ERA5,DegC,9.062,9.247,-0.185,18.612,19.122,2.276,0.993
TREFHT global ERA5,DegC,14.222,14.289,-0.066,13.809,14.204,1.685,0.993
