Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.041,2.699,0.342,2.793,2.369,1.446,0.864
TREFHT land_60S90N CRU,DegC,5.309,5.46,-0.15,18.309,20.005,3.776,0.984
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.045,7.946,0.099,97.622,95.935,12.593,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.165,-49.227,-1.938,37.054,36.987,13.13,0.938
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.759,25.835,-2.076,14.261,14.322,6.845,0.896
U-850mb global ERA-Interim,m s-1,1.068,1.068,0.0,6.886,5.798,1.69,0.978
U-200mb global ERA-Interim,m s-1,16.727,16.981,-0.254,14.976,14.764,3.136,0.978
Z3-500mb global ERA-Interim,hectometer,56.232,56.403,-0.17,2.787,2.696,0.266,0.998
PSL global ERA-Interim,mbar,1011.443,1011.442,0.0,10.747,8.712,2.794,0.98
PSL global ERA5,mbar,1011.443,1011.539,-0.097,10.747,8.595,2.961,0.978
U-850mb global ERA5,m s-1,1.068,1.046,0.023,6.886,5.828,1.698,0.977
U-200mb global ERA5,m s-1,16.727,16.976,-0.249,14.976,14.671,3.058,0.979
Z3-500mb global ERA5,hectometer,56.232,56.387,-0.154,2.787,2.687,0.259,0.998
TREFHT land ERA-Interim,DegC,3.251,3.18,0.071,18.796,20.08,3.127,0.989
TREFHT global ERA-Interim,DegC,12.532,12.671,-0.139,15.275,15.886,2.144,0.991
TREFHT land ERA5,DegC,3.251,3.176,0.075,18.796,20.478,3.537,0.987
TREFHT global ERA5,DegC,12.532,12.492,0.04,15.275,15.943,2.313,0.99
