Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.076,2.715,0.361,2.652,2.517,1.596,0.82
TREFHT land_60S90N CRU,DegC,18.805,19.563,-0.758,8.465,8.254,2.041,0.975
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-7.81,-7.507,-0.303,87.685,86.711,13.645,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.807,-43.231,-4.576,32.552,29.958,16.908,0.868
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.034,25.664,-0.63,14.259,14.323,7.608,0.859
U-850mb global ERA-Interim,m s-1,1.376,1.139,0.237,6.787,5.817,1.9,0.966
U-200mb global ERA-Interim,m s-1,14.739,12.972,1.767,15.135,16.055,3.516,0.983
Z3-500mb global ERA-Interim,hectometer,56.713,56.891,-0.178,2.801,2.614,0.325,0.997
PSL global ERA-Interim,mbar,1011.073,1011.175,-0.101,11.096,8.534,3.686,0.963
PSL global ERA5,mbar,1011.073,1011.256,-0.182,11.096,8.477,3.783,0.961
U-850mb global ERA5,m s-1,1.376,1.146,0.229,6.787,5.842,1.93,0.964
U-200mb global ERA5,m s-1,14.739,12.915,1.824,15.135,15.99,3.57,0.982
Z3-500mb global ERA5,hectometer,56.713,56.885,-0.172,2.801,2.605,0.324,0.997
TREFHT land ERA-Interim,DegC,13.048,14.28,-1.232,20.091,20.329,2.412,0.995
TREFHT global ERA-Interim,DegC,15.577,16.115,-0.538,14.148,14.298,1.801,0.993
TREFHT land ERA5,DegC,13.048,14.385,-1.337,20.091,20.048,2.743,0.993
TREFHT global ERA5,DegC,15.577,16.007,-0.43,14.148,14.176,1.895,0.992
