Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.996,2.685,0.312,2.579,2.214,1.344,0.862
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.549,1.984,-0.435,71.993,73.723,10.658,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.811,-46.398,-2.413,27.375,25.823,12.957,0.887
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.376,25.676,-1.299,12.565,12.27,6.306,0.877
U-850mb global ERA-Interim,m s-1,1.319,1.173,0.147,6.563,5.602,1.605,0.977
U-200mb global ERA-Interim,m s-1,16.682,15.732,0.95,12.887,13.148,2.491,0.985
Z3-500mb global ERA-Interim,hectometer,56.47,56.594,-0.124,2.851,2.691,0.248,0.999
PSL global ERA-Interim,mbar,1011.172,1011.255,-0.083,11.358,8.892,3.268,0.977
PSL global ERA5,mbar,1011.172,1011.349,-0.176,11.358,8.787,3.439,0.974
U-850mb global ERA5,m s-1,1.319,1.152,0.167,6.563,5.583,1.658,0.975
U-200mb global ERA5,m s-1,16.682,15.697,0.985,12.887,13.064,2.546,0.984
Z3-500mb global ERA5,hectometer,56.47,56.582,-0.113,2.851,2.678,0.252,0.999
TREFHT land ERA-Interim,DegC,9.214,9.282,-0.068,18.423,18.883,2.091,0.994
TREFHT global ERA-Interim,DegC,14.305,14.456,-0.151,13.714,14.166,1.639,0.994
TREFHT land ERA5,DegC,9.214,9.247,-0.033,18.423,19.122,2.402,0.993
TREFHT global ERA5,DegC,14.305,14.289,0.016,13.714,14.204,1.72,0.993
