Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.909,2.69,0.219,1.992,1.934,1.042,0.866
TREFHT land_60S90N CRU,DegC,12.213,12.883,-0.67,12.858,13.1,1.801,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.442,0.927,-0.485,50.753,56.014,11.69,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.874,-45.309,1.435,17.814,20.241,10.451,0.86
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.637,25.813,-0.176,11.169,11.0,5.238,0.889
U-850mb global ERA-Interim,m s-1,0.941,1.097,-0.156,5.128,5.404,0.82,0.99
U-200mb global ERA-Interim,m s-1,15.655,15.687,-0.032,12.257,12.32,2.294,0.983
Z3-500mb global ERA-Interim,hectometer,56.587,56.618,-0.031,2.357,2.575,0.274,0.998
PSL global ERA-Interim,mbar,1011.266,1011.302,-0.036,7.621,8.146,1.177,0.991
PSL global ERA5,mbar,1011.266,1011.389,-0.123,7.625,8.066,1.087,0.992
U-850mb global ERA5,m s-1,0.941,1.081,-0.14,5.133,5.411,0.811,0.99
U-200mb global ERA5,m s-1,15.655,15.655,0.001,12.262,12.246,2.253,0.983
Z3-500mb global ERA5,hectometer,56.587,56.608,-0.021,2.357,2.566,0.263,0.998
TREFHT land ERA-Interim,DegC,8.187,9.009,-0.822,17.693,18.55,2.194,0.995
TREFHT global ERA-Interim,DegC,14.54,14.412,0.129,13.298,14.12,1.891,0.992
TREFHT land ERA5,DegC,8.414,8.819,-0.406,17.568,18.899,2.316,0.995
TREFHT global ERA5,DegC,14.541,14.267,0.273,13.306,14.109,1.895,0.992
