Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.941,2.699,0.242,2.702,2.369,1.332,0.875
TREFHT land_60S90N CRU,DegC,4.388,5.46,-1.072,18.977,20.005,2.906,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,7.576,7.946,-0.37,96.363,95.935,17.837,0.983
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.064,-49.227,1.163,32.213,36.987,14.459,0.922
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.923,25.835,-0.911,15.743,14.322,6.908,0.9
U-850mb global ERA-Interim,m s-1,0.802,1.068,-0.266,5.91,5.803,1.033,0.986
U-200mb global ERA-Interim,m s-1,16.332,16.982,-0.649,16.171,14.77,3.132,0.984
Z3-500mb global ERA-Interim,hectometer,56.394,56.403,-0.009,2.528,2.696,0.289,0.996
PSL global ERA-Interim,mbar,1011.465,1011.443,0.022,8.427,8.715,1.631,0.982
PSL global ERA5,mbar,1011.465,1011.54,-0.075,8.431,8.594,1.485,0.985
U-850mb global ERA5,m s-1,0.802,1.046,-0.244,5.916,5.827,0.973,0.987
U-200mb global ERA5,m s-1,16.333,16.976,-0.643,16.178,14.67,3.126,0.985
Z3-500mb global ERA5,hectometer,56.394,56.387,0.007,2.528,2.687,0.282,0.996
TREFHT land ERA-Interim,DegC,2.056,3.443,-1.386,19.585,20.025,2.313,0.995
TREFHT global ERA-Interim,DegC,12.687,12.671,0.016,15.685,15.893,1.925,0.993
TREFHT land ERA5,DegC,2.407,3.043,-0.636,19.565,20.508,2.46,0.994
TREFHT global ERA5,DegC,12.687,12.492,0.195,15.694,15.939,1.993,0.992
