Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.949,2.715,0.234,2.62,2.517,1.382,0.86
TREFHT land_60S90N CRU,DegC,19.477,19.563,-0.086,8.55,8.254,1.769,0.979
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-7.196,-7.507,0.311,87.437,86.711,12.96,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.451,-43.231,0.779,26.375,29.958,12.693,0.907
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.412,25.664,0.747,15.351,14.323,6.847,0.897
U-850mb global ERA-Interim,m s-1,1.038,1.139,-0.101,5.519,5.822,1.218,0.979
U-200mb global ERA-Interim,m s-1,14.063,12.972,1.09,14.999,16.06,3.756,0.976
Z3-500mb global ERA-Interim,hectometer,56.828,56.891,-0.063,2.368,2.614,0.314,0.997
PSL global ERA-Interim,mbar,1011.107,1011.175,-0.068,7.865,8.538,1.609,0.984
PSL global ERA5,mbar,1011.107,1011.255,-0.149,7.869,8.475,1.574,0.984
U-850mb global ERA5,m s-1,1.038,1.146,-0.108,5.526,5.841,1.228,0.978
U-200mb global ERA5,m s-1,14.063,12.915,1.148,15.004,15.989,3.771,0.975
Z3-500mb global ERA5,hectometer,56.828,56.885,-0.057,2.368,2.605,0.306,0.997
TREFHT land ERA-Interim,DegC,14.161,14.332,-0.172,18.653,20.116,2.46,0.996
TREFHT global ERA-Interim,DegC,16.422,16.115,0.307,12.835,14.303,2.11,0.994
TREFHT land ERA5,DegC,14.265,14.343,-0.078,18.422,20.151,2.415,0.996
TREFHT global ERA5,DegC,16.422,16.007,0.415,12.844,14.174,2.042,0.994
