Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.881,2.664,0.218,2.261,2.066,1.651,0.717
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-2.623,1.447,-4.07,68.091,72.038,14.508,0.982
SWCF global ceres_ebaf_toa_v4.1,W m-2,-41.172,-42.479,1.307,21.127,22.041,13.783,0.799
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.618,26.074,-0.457,12.636,11.668,9.072,0.725
U-850mb global ERA-Interim,m s-1,0.881,1.009,-0.128,5.37,5.423,1.244,0.974
U-200mb global ERA-Interim,m s-1,16.075,17.09,-1.015,13.117,12.069,3.715,0.963
Z3-500mb global ERA-Interim,hectometer,56.538,56.582,-0.043,2.417,2.612,0.32,0.995
PSL global ERA-Interim,mbar,1011.292,1011.337,-0.045,7.964,8.033,1.161,0.99
PSL global ERA5,mbar,1011.292,1011.413,-0.122,7.968,7.989,1.178,0.989
U-850mb global ERA5,m s-1,0.881,0.98,-0.099,5.376,5.446,1.238,0.974
U-200mb global ERA5,m s-1,16.075,17.059,-0.984,13.122,11.996,3.715,0.963
Z3-500mb global ERA5,hectometer,56.538,56.572,-0.034,2.417,2.604,0.31,0.995
TREFHT land ERA-Interim,DegC,7.394,8.704,-1.31,19.037,20.105,3.383,0.989
TREFHT global ERA-Interim,DegC,14.371,14.366,0.004,14.191,15.029,2.547,0.986
TREFHT land ERA5,DegC,7.626,8.615,-0.989,18.909,20.258,3.264,0.99
TREFHT global ERA5,DegC,14.371,14.243,0.128,14.199,14.912,2.49,0.987
