Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.866,2.685,0.181,2.455,2.214,1.294,0.854
RESTOM global ceres_ebaf_toa_v4.1,W m-2,4.187,1.984,2.202,70.609,73.723,14.556,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.89,-46.398,2.508,21.961,25.823,12.363,0.884
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.579,25.676,-0.096,13.326,12.27,6.426,0.877
U-850mb global ERA-Interim,m s-1,1.041,1.173,-0.132,5.342,5.607,1.266,0.975
U-200mb global ERA-Interim,m s-1,16.167,15.732,0.435,12.938,13.153,3.197,0.971
Z3-500mb global ERA-Interim,hectometer,56.585,56.594,-0.009,2.474,2.691,0.272,0.998
PSL global ERA-Interim,mbar,1011.203,1011.255,-0.052,8.248,8.896,1.692,0.983
PSL global ERA5,mbar,1011.203,1011.349,-0.145,8.251,8.786,1.611,0.984
U-850mb global ERA5,m s-1,1.041,1.153,-0.112,5.348,5.582,1.296,0.973
U-200mb global ERA5,m s-1,16.167,15.697,0.471,12.943,13.063,3.152,0.971
Z3-500mb global ERA5,hectometer,56.585,56.583,0.002,2.474,2.678,0.261,0.998
TREFHT land ERA-Interim,DegC,9.028,9.44,-0.413,18.05,18.742,1.93,0.996
TREFHT global ERA-Interim,DegC,14.648,14.456,0.192,13.402,14.171,1.662,0.994
TREFHT land ERA5,DegC,9.25,9.154,0.096,17.907,19.192,2.159,0.995
TREFHT global ERA5,DegC,14.648,14.289,0.359,13.41,14.2,1.689,0.994
