Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.939,2.69,0.248,2.0,1.934,1.002,0.879
TREFHT land_60S90N CRU,DegC,12.933,12.883,0.05,12.734,13.1,1.763,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.508,0.927,-0.419,51.035,56.014,11.996,0.979
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.327,-45.309,0.983,17.745,20.241,10.544,0.855
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.617,25.813,0.804,11.621,11.0,5.198,0.898
U-850mb global ERA-Interim,m s-1,0.947,1.097,-0.15,5.149,5.404,0.773,0.991
U-200mb global ERA-Interim,m s-1,15.853,15.687,0.166,12.426,12.32,2.407,0.981
Z3-500mb global ERA-Interim,hectometer,56.742,56.618,0.124,2.357,2.575,0.3,0.998
PSL global ERA-Interim,mbar,1011.317,1011.302,0.016,7.766,8.146,1.08,0.992
PSL global ERA5,mbar,1011.317,1011.389,-0.071,7.77,8.066,1.003,0.993
U-850mb global ERA5,m s-1,0.947,1.081,-0.134,5.154,5.411,0.762,0.991
U-200mb global ERA5,m s-1,15.853,15.655,0.198,12.431,12.246,2.365,0.982
Z3-500mb global ERA5,hectometer,56.742,56.608,0.134,2.358,2.566,0.296,0.998
TREFHT land ERA-Interim,DegC,8.934,9.009,-0.075,17.555,18.55,2.187,0.995
TREFHT global ERA-Interim,DegC,15.188,14.412,0.777,13.088,14.12,2.147,0.992
TREFHT land ERA5,DegC,9.156,8.818,0.338,17.428,18.899,2.354,0.995
TREFHT global ERA5,DegC,15.189,14.267,0.921,13.095,14.109,2.18,0.992
