Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.964,2.699,0.264,2.683,2.369,1.319,0.876
TREFHT land_60S90N CRU,DegC,5.131,5.46,-0.329,18.625,20.005,3.112,0.99
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.487,7.946,0.541,97.239,95.935,18.275,0.982
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.558,-49.227,1.669,31.899,36.987,15.021,0.917
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.887,25.835,0.053,16.264,14.322,7.156,0.898
U-850mb global ERA-Interim,m s-1,0.83,1.068,-0.238,5.871,5.803,1.104,0.983
U-200mb global ERA-Interim,m s-1,16.453,16.982,-0.529,16.334,14.77,3.408,0.982
Z3-500mb global ERA-Interim,hectometer,56.542,56.403,0.139,2.507,2.696,0.348,0.995
PSL global ERA-Interim,mbar,1011.507,1011.443,0.064,8.547,8.715,1.747,0.98
PSL global ERA5,mbar,1011.506,1011.54,-0.033,8.551,8.594,1.628,0.982
U-850mb global ERA5,m s-1,0.83,1.046,-0.217,5.877,5.827,1.058,0.984
U-200mb global ERA5,m s-1,16.453,16.976,-0.523,16.341,14.67,3.403,0.982
Z3-500mb global ERA5,hectometer,56.542,56.387,0.156,2.508,2.687,0.35,0.995
TREFHT land ERA-Interim,DegC,2.806,3.443,-0.637,19.266,20.025,2.308,0.994
TREFHT global ERA-Interim,DegC,13.34,12.671,0.669,15.367,15.893,2.127,0.992
TREFHT land ERA5,DegC,3.155,3.042,0.113,19.244,20.508,2.542,0.994
TREFHT global ERA5,DegC,13.341,12.492,0.848,15.376,15.939,2.217,0.992
