Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.977,2.715,0.262,2.672,2.517,1.337,0.874
TREFHT land_60S90N CRU,DegC,20.152,19.563,0.589,8.649,8.254,1.839,0.98
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.477,-7.507,-0.97,87.151,86.711,13.114,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.181,-43.231,-0.951,28.797,29.958,12.901,0.905
LWCF global ceres_ebaf_toa_v4.1,W m-2,27.404,25.664,1.74,16.162,14.323,7.064,0.906
U-850mb global ERA-Interim,m s-1,1.012,1.139,-0.127,5.525,5.822,1.184,0.98
U-200mb global ERA-Interim,m s-1,14.239,12.972,1.266,15.234,16.06,3.704,0.977
Z3-500mb global ERA-Interim,hectometer,56.987,56.891,0.097,2.364,2.614,0.332,0.997
PSL global ERA-Interim,mbar,1011.175,1011.175,0.0,7.851,8.538,1.595,0.985
PSL global ERA5,mbar,1011.175,1011.255,-0.08,7.856,8.475,1.557,0.985
U-850mb global ERA5,m s-1,1.012,1.146,-0.134,5.531,5.841,1.196,0.98
U-200mb global ERA5,m s-1,14.239,12.915,1.324,15.24,15.989,3.737,0.976
Z3-500mb global ERA5,hectometer,56.988,56.885,0.103,2.364,2.605,0.327,0.997
TREFHT land ERA-Interim,DegC,14.898,14.332,0.566,18.519,20.116,2.73,0.995
TREFHT global ERA-Interim,DegC,17.059,16.115,0.944,12.653,14.303,2.528,0.992
TREFHT land ERA5,DegC,14.995,14.342,0.653,18.291,20.152,2.655,0.995
TREFHT global ERA5,DegC,17.059,16.007,1.052,12.662,14.174,2.484,0.992
