Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.89,2.685,0.206,2.473,2.214,1.26,0.865
RESTOM global ceres_ebaf_toa_v4.1,W m-2,4.225,1.984,2.241,70.476,73.723,16.004,0.977
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.433,-46.398,1.965,22.162,25.823,12.618,0.876
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.534,25.676,0.858,14.005,12.27,6.423,0.891
U-850mb global ERA-Interim,m s-1,1.065,1.173,-0.108,5.446,5.607,1.0,0.984
U-200mb global ERA-Interim,m s-1,16.325,15.732,0.593,13.209,13.153,2.891,0.977
Z3-500mb global ERA-Interim,hectometer,56.727,56.594,0.134,2.502,2.691,0.258,0.999
PSL global ERA-Interim,mbar,1011.24,1011.255,-0.015,8.721,8.896,1.217,0.991
PSL global ERA5,mbar,1011.24,1011.349,-0.108,8.725,8.786,1.188,0.991
U-850mb global ERA5,m s-1,1.065,1.153,-0.087,5.452,5.582,1.031,0.983
U-200mb global ERA5,m s-1,16.325,15.697,0.628,13.214,13.063,2.844,0.978
Z3-500mb global ERA5,hectometer,56.727,56.583,0.145,2.502,2.678,0.254,0.999
TREFHT land ERA-Interim,DegC,9.643,9.44,0.203,18.0,18.742,1.974,0.996
TREFHT global ERA-Interim,DegC,15.239,14.456,0.782,13.195,14.171,1.917,0.994
TREFHT land ERA5,DegC,9.861,9.153,0.708,17.853,19.193,2.26,0.996
TREFHT global ERA5,DegC,15.239,14.289,0.949,13.203,14.2,1.974,0.995
