Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.856,2.69,0.165,1.922,1.934,0.984,0.873
TREFHT land_60S90N CRU,DegC,12.037,12.817,-0.78,13.089,13.066,1.914,0.992
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.076,0.923,0.153,50.825,55.957,11.995,0.979
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.357,-45.308,-0.049,18.5,20.092,11.32,0.831
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.338,25.812,0.527,11.748,10.953,5.08,0.903
U-850mb global ERA-Interim,m s-1,0.926,1.097,-0.171,5.231,5.401,0.788,0.99
U-200mb global ERA-Interim,m s-1,15.44,15.687,-0.247,12.331,12.315,2.195,0.984
Z3-500mb global ERA-Interim,hectometer,56.53,56.618,-0.088,2.373,2.575,0.271,0.998
PSL global ERA-Interim,mbar,1011.212,1011.302,-0.09,7.88,8.143,0.966,0.993
PSL global ERA5,mbar,1011.212,1011.389,-0.177,7.88,8.066,0.936,0.994
U-850mb global ERA5,m s-1,0.926,1.082,-0.157,5.231,5.41,0.798,0.99
U-200mb global ERA5,m s-1,15.44,15.654,-0.214,12.331,12.246,2.14,0.985
Z3-500mb global ERA5,hectometer,56.53,56.608,-0.078,2.373,2.566,0.258,0.998
TREFHT land ERA-Interim,DegC,8.095,8.88,-0.785,17.78,18.688,2.318,0.994
TREFHT global ERA-Interim,DegC,14.35,14.411,-0.06,13.456,14.115,2.003,0.991
TREFHT land ERA5,DegC,8.095,8.856,-0.761,17.78,18.89,2.537,0.993
TREFHT global ERA5,DegC,14.35,14.267,0.083,13.456,14.11,2.031,0.99
