Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.89,2.699,0.19,2.561,2.369,1.295,0.868
TREFHT land_60S90N CRU,DegC,3.982,5.174,-1.192,19.431,20.085,3.042,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,9.531,7.946,1.585,96.283,95.89,18.268,0.982
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.666,-49.227,0.561,32.357,36.855,15.699,0.905
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.554,25.832,-0.278,16.397,14.26,7.078,0.903
U-850mb global ERA-Interim,m s-1,0.763,1.068,-0.305,5.93,5.798,1.138,0.983
U-200mb global ERA-Interim,m s-1,16.033,16.981,-0.948,16.061,14.763,3.292,0.983
Z3-500mb global ERA-Interim,hectometer,56.324,56.403,-0.079,2.518,2.696,0.305,0.996
PSL global ERA-Interim,mbar,1011.435,1011.443,-0.008,8.621,8.712,1.571,0.984
PSL global ERA5,mbar,1011.435,1011.54,-0.105,8.621,8.594,1.473,0.985
U-850mb global ERA5,m s-1,0.763,1.048,-0.284,5.93,5.827,1.101,0.984
U-200mb global ERA5,m s-1,16.033,16.976,-0.942,16.061,14.67,3.286,0.983
Z3-500mb global ERA5,hectometer,56.324,56.387,-0.063,2.518,2.687,0.294,0.996
TREFHT land ERA-Interim,DegC,1.764,3.172,-1.407,19.933,20.097,2.781,0.994
TREFHT global ERA-Interim,DegC,12.399,12.67,-0.271,16.012,15.888,2.235,0.99
TREFHT land ERA5,DegC,1.764,3.089,-1.325,19.933,20.516,2.954,0.992
TREFHT global ERA5,DegC,12.399,12.492,-0.093,16.012,15.942,2.305,0.99
