Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.889,2.715,0.174,2.603,2.517,1.333,0.867
TREFHT land_60S90N CRU,DegC,19.325,19.664,-0.339,8.674,8.157,1.878,0.978
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.321,-7.514,-0.807,86.055,86.642,13.332,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.69,-43.232,-2.459,29.901,29.759,13.783,0.897
LWCF global ceres_ebaf_toa_v4.1,W m-2,27.301,25.664,1.637,16.62,14.267,7.551,0.897
U-850mb global ERA-Interim,m s-1,1.014,1.139,-0.125,5.621,5.817,1.154,0.98
U-200mb global ERA-Interim,m s-1,13.896,12.972,0.923,15.102,16.055,3.514,0.978
Z3-500mb global ERA-Interim,hectometer,56.774,56.89,-0.116,2.381,2.614,0.32,0.997
PSL global ERA-Interim,mbar,1011.039,1011.175,-0.136,7.967,8.533,1.386,0.988
PSL global ERA5,mbar,1011.039,1011.255,-0.216,7.967,8.476,1.386,0.988
U-850mb global ERA5,m s-1,1.014,1.147,-0.132,5.621,5.841,1.189,0.979
U-200mb global ERA5,m s-1,13.896,12.915,0.981,15.102,15.989,3.512,0.978
Z3-500mb global ERA5,hectometer,56.774,56.885,-0.11,2.381,2.605,0.312,0.997
TREFHT land ERA-Interim,DegC,14.091,14.329,-0.238,18.607,20.324,2.508,0.995
TREFHT global ERA-Interim,DegC,16.275,16.115,0.16,12.934,14.297,2.135,0.993
TREFHT land ERA5,DegC,14.091,14.369,-0.278,18.607,20.125,2.616,0.994
TREFHT global ERA5,DegC,16.275,16.007,0.268,12.934,14.174,2.098,0.992
