Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.843,2.664,0.179,2.217,2.066,1.597,0.727
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-1.476,1.444,-2.921,67.887,71.968,14.249,0.982
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.085,-42.472,0.388,22.085,21.838,14.795,0.773
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.302,26.071,0.231,13.558,11.608,9.479,0.727
U-850mb global ERA-Interim,m s-1,0.863,1.009,-0.146,5.437,5.419,1.287,0.972
U-200mb global ERA-Interim,m s-1,15.968,17.09,-1.122,13.378,12.063,3.788,0.965
Z3-500mb global ERA-Interim,hectometer,56.503,56.581,-0.078,2.429,2.612,0.33,0.995
PSL global ERA-Interim,mbar,1011.248,1011.337,-0.089,8.127,8.029,1.221,0.989
PSL global ERA5,mbar,1011.248,1011.413,-0.165,8.127,7.99,1.264,0.988
U-850mb global ERA5,m s-1,0.863,0.981,-0.118,5.437,5.446,1.284,0.972
U-200mb global ERA5,m s-1,15.968,17.059,-1.091,13.378,11.996,3.793,0.965
Z3-500mb global ERA5,hectometer,56.503,56.572,-0.069,2.429,2.604,0.32,0.995
TREFHT land ERA-Interim,DegC,7.452,8.596,-1.144,19.079,20.255,3.513,0.988
TREFHT global ERA-Interim,DegC,14.283,14.365,-0.082,14.341,15.023,2.689,0.984
TREFHT land ERA5,DegC,7.452,8.653,-1.202,19.079,20.246,3.503,0.988
TREFHT global ERA5,DegC,14.283,14.242,0.041,14.341,14.914,2.667,0.984
