Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.915,2.69,0.224,2.027,1.934,1.007,0.878
TREFHT land_60S90N CRU,DegC,12.501,12.883,-0.382,12.899,13.1,1.701,0.992
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.629,0.927,-0.298,51.333,56.014,11.709,0.98
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.327,-45.309,0.983,18.11,20.241,10.558,0.855
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.557,25.813,0.744,11.861,11.0,5.197,0.901
U-850mb global ERA-Interim,m s-1,0.942,1.097,-0.155,5.245,5.404,0.734,0.991
U-200mb global ERA-Interim,m s-1,15.791,15.687,0.104,12.406,12.32,2.174,0.985
Z3-500mb global ERA-Interim,hectometer,56.661,56.618,0.043,2.387,2.575,0.24,0.998
PSL global ERA-Interim,mbar,1011.269,1011.302,-0.032,7.927,8.146,0.915,0.994
PSL global ERA5,mbar,1011.27,1011.389,-0.119,7.931,8.066,0.862,0.994
U-850mb global ERA5,m s-1,0.942,1.081,-0.139,5.25,5.411,0.72,0.992
U-200mb global ERA5,m s-1,15.792,15.655,0.137,12.411,12.246,2.125,0.985
Z3-500mb global ERA5,hectometer,56.661,56.608,0.053,2.387,2.566,0.233,0.998
TREFHT land ERA-Interim,DegC,8.466,9.009,-0.543,17.74,18.55,2.113,0.995
TREFHT global ERA-Interim,DegC,14.76,14.412,0.348,13.318,14.12,1.854,0.993
TREFHT land ERA5,DegC,8.691,8.819,-0.128,17.614,18.899,2.255,0.995
TREFHT global ERA5,DegC,14.76,14.267,0.492,13.326,14.109,1.876,0.993
