Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.94,2.699,0.241,2.705,2.369,1.325,0.876
TREFHT land_60S90N CRU,DegC,4.571,5.46,-0.888,18.899,20.005,2.928,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.683,7.946,0.737,96.863,95.935,17.371,0.984
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.686,-49.227,1.541,32.25,36.987,14.65,0.92
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.859,25.835,0.025,16.584,14.322,7.128,0.904
U-850mb global ERA-Interim,m s-1,0.822,1.068,-0.246,5.977,5.803,1.09,0.984
U-200mb global ERA-Interim,m s-1,16.456,16.982,-0.526,16.14,14.77,3.251,0.982
Z3-500mb global ERA-Interim,hectometer,56.455,56.403,0.052,2.54,2.696,0.276,0.996
PSL global ERA-Interim,mbar,1011.463,1011.443,0.02,8.802,8.715,1.503,0.985
PSL global ERA5,mbar,1011.463,1011.54,-0.077,8.806,8.594,1.44,0.987
U-850mb global ERA5,m s-1,0.822,1.046,-0.224,5.983,5.827,1.028,0.986
U-200mb global ERA5,m s-1,16.456,16.976,-0.52,16.147,14.67,3.212,0.983
Z3-500mb global ERA5,hectometer,56.455,56.387,0.068,2.54,2.687,0.273,0.996
TREFHT land ERA-Interim,DegC,2.22,3.443,-1.223,19.539,20.025,2.266,0.995
TREFHT global ERA-Interim,DegC,12.87,12.671,0.198,15.641,15.893,1.865,0.993
TREFHT land ERA5,DegC,2.577,3.043,-0.466,19.517,20.508,2.416,0.994
TREFHT global ERA5,DegC,12.87,12.492,0.378,15.65,15.939,1.936,0.993
