Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.956,2.715,0.241,2.699,2.517,1.355,0.872
TREFHT land_60S90N CRU,DegC,19.814,19.563,0.251,8.709,8.254,1.82,0.979
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.516,-7.507,-1.009,86.895,86.711,13.217,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.331,-43.231,-1.1,29.062,29.958,13.035,0.904
LWCF global ceres_ebaf_toa_v4.1,W m-2,27.314,25.664,1.65,16.418,14.323,7.171,0.906
U-850mb global ERA-Interim,m s-1,1.006,1.139,-0.133,5.648,5.822,1.146,0.981
U-200mb global ERA-Interim,m s-1,14.126,12.972,1.153,15.257,16.06,3.472,0.979
Z3-500mb global ERA-Interim,hectometer,56.914,56.891,0.024,2.396,2.614,0.287,0.997
PSL global ERA-Interim,mbar,1011.118,1011.175,-0.057,8.063,8.538,1.408,0.987
PSL global ERA5,mbar,1011.118,1011.255,-0.138,8.068,8.475,1.384,0.987
U-850mb global ERA5,m s-1,1.006,1.146,-0.14,5.655,5.841,1.155,0.981
U-200mb global ERA5,m s-1,14.126,12.915,1.211,15.262,15.989,3.497,0.979
Z3-500mb global ERA5,hectometer,56.915,56.885,0.03,2.396,2.605,0.281,0.997
TREFHT land ERA-Interim,DegC,14.516,14.332,0.184,18.661,20.116,2.6,0.995
TREFHT global ERA-Interim,DegC,16.662,16.115,0.546,12.867,14.303,2.174,0.994
TREFHT land ERA5,DegC,14.615,14.343,0.272,18.432,20.151,2.538,0.995
TREFHT global ERA5,DegC,16.662,16.007,0.655,12.876,14.174,2.112,0.994
