Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.9,2.664,0.236,2.294,2.066,1.548,0.759
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-1.726,1.447,-3.173,68.552,72.038,13.875,0.983
SWCF global ceres_ebaf_toa_v4.1,W m-2,-41.193,-42.479,1.286,21.565,22.041,13.727,0.804
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.612,26.074,0.537,13.459,11.668,8.926,0.757
U-850mb global ERA-Interim,m s-1,0.853,1.009,-0.156,5.364,5.423,1.136,0.978
U-200mb global ERA-Interim,m s-1,16.345,17.09,-0.745,13.339,12.069,3.579,0.967
Z3-500mb global ERA-Interim,hectometer,56.628,56.582,0.046,2.425,2.612,0.31,0.995
PSL global ERA-Interim,mbar,1011.307,1011.337,-0.03,7.975,8.033,1.105,0.991
PSL global ERA5,mbar,1011.307,1011.413,-0.106,7.979,7.989,1.104,0.991
U-850mb global ERA5,m s-1,0.853,0.98,-0.127,5.369,5.446,1.128,0.979
U-200mb global ERA5,m s-1,16.346,17.059,-0.714,13.344,11.996,3.585,0.967
Z3-500mb global ERA5,hectometer,56.628,56.572,0.056,2.425,2.604,0.304,0.995
TREFHT land ERA-Interim,DegC,7.836,8.704,-0.868,19.051,20.105,3.266,0.989
TREFHT global ERA-Interim,DegC,14.677,14.366,0.311,14.181,15.029,2.489,0.987
TREFHT land ERA5,DegC,8.064,8.615,-0.551,18.921,20.258,3.149,0.99
TREFHT global ERA5,DegC,14.677,14.243,0.435,14.19,14.912,2.441,0.988
