Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.864,2.685,0.179,2.489,2.214,1.27,0.863
RESTOM global ceres_ebaf_toa_v4.1,W m-2,4.268,1.984,2.283,70.723,73.723,15.105,0.979
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.159,-46.398,2.239,22.375,25.823,12.695,0.875
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.428,25.676,0.752,14.108,12.27,6.496,0.889
U-850mb global ERA-Interim,m s-1,1.086,1.173,-0.087,5.545,5.607,1.044,0.983
U-200mb global ERA-Interim,m s-1,16.257,15.732,0.525,13.148,13.153,2.77,0.979
Z3-500mb global ERA-Interim,hectometer,56.643,56.594,0.049,2.535,2.691,0.195,0.999
PSL global ERA-Interim,mbar,1011.193,1011.255,-0.062,8.903,8.896,1.218,0.991
PSL global ERA5,mbar,1011.194,1011.349,-0.155,8.907,8.786,1.222,0.991
U-850mb global ERA5,m s-1,1.086,1.153,-0.067,5.55,5.582,1.077,0.981
U-200mb global ERA5,m s-1,16.257,15.697,0.561,13.153,13.063,2.722,0.979
Z3-500mb global ERA5,hectometer,56.643,56.583,0.06,2.536,2.678,0.188,0.999
TREFHT land ERA-Interim,DegC,9.178,9.44,-0.262,18.185,18.742,1.876,0.996
TREFHT global ERA-Interim,DegC,14.794,14.456,0.338,13.455,14.171,1.635,0.995
TREFHT land ERA5,DegC,9.399,9.154,0.244,18.039,19.192,2.109,0.995
TREFHT global ERA5,DegC,14.794,14.289,0.505,13.464,14.2,1.676,0.995
