Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.903,2.69,0.212,2.032,1.934,1.006,0.878
TREFHT land_60S90N CRU,DegC,12.251,12.883,-0.632,13.09,13.1,1.774,0.992
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.693,0.927,-0.234,51.286,56.014,11.723,0.98
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.232,-45.309,1.077,18.246,20.241,10.743,0.851
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.541,25.813,0.728,11.787,11.0,5.125,0.903
U-850mb global ERA-Interim,m s-1,0.956,1.097,-0.142,5.192,5.404,0.76,0.991
U-200mb global ERA-Interim,m s-1,15.964,15.687,0.277,12.341,12.32,2.379,0.982
Z3-500mb global ERA-Interim,hectometer,56.633,56.618,0.015,2.385,2.575,0.258,0.998
PSL global ERA-Interim,mbar,1011.264,1011.302,-0.038,7.83,8.146,1.086,0.992
PSL global ERA5,mbar,1011.264,1011.389,-0.125,7.834,8.066,1.027,0.992
U-850mb global ERA5,m s-1,0.956,1.081,-0.126,5.197,5.411,0.761,0.991
U-200mb global ERA5,m s-1,15.965,15.655,0.31,12.346,12.246,2.331,0.982
Z3-500mb global ERA5,hectometer,56.633,56.608,0.025,2.386,2.566,0.249,0.998
TREFHT land ERA-Interim,DegC,8.244,9.009,-0.765,17.8,18.55,2.269,0.994
TREFHT global ERA-Interim,DegC,14.61,14.412,0.198,13.425,14.12,1.966,0.991
TREFHT land ERA5,DegC,8.469,8.819,-0.35,17.681,18.899,2.384,0.994
TREFHT global ERA5,DegC,14.61,14.267,0.343,13.432,14.109,1.976,0.991
