Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.93,2.699,0.231,2.72,2.369,1.303,0.882
TREFHT land_60S90N CRU,DegC,4.288,5.46,-1.172,19.152,20.005,3.039,0.99
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.626,7.946,0.681,96.702,95.935,17.503,0.984
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.641,-49.227,1.586,32.234,36.987,14.784,0.919
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.703,25.835,-0.132,16.473,14.322,6.992,0.906
U-850mb global ERA-Interim,m s-1,0.828,1.068,-0.24,5.857,5.803,0.982,0.987
U-200mb global ERA-Interim,m s-1,16.661,16.982,-0.321,15.873,14.77,2.982,0.984
Z3-500mb global ERA-Interim,hectometer,56.431,56.403,0.028,2.544,2.696,0.281,0.996
PSL global ERA-Interim,mbar,1011.467,1011.443,0.025,8.533,8.715,1.616,0.983
PSL global ERA5,mbar,1011.467,1011.54,-0.072,8.537,8.594,1.49,0.985
U-850mb global ERA5,m s-1,0.828,1.046,-0.219,5.863,5.827,0.931,0.988
U-200mb global ERA5,m s-1,16.661,16.976,-0.315,15.88,14.67,2.942,0.985
Z3-500mb global ERA5,hectometer,56.431,56.387,0.044,2.544,2.687,0.276,0.996
TREFHT land ERA-Interim,DegC,1.984,3.443,-1.459,19.701,20.025,2.469,0.994
TREFHT global ERA-Interim,DegC,12.708,12.671,0.036,15.844,15.893,2.047,0.992
TREFHT land ERA5,DegC,2.339,3.043,-0.704,19.688,20.508,2.622,0.993
TREFHT global ERA5,DegC,12.708,12.492,0.216,15.854,15.939,2.127,0.991
