Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.939,2.715,0.224,2.68,2.517,1.357,0.869
TREFHT land_60S90N CRU,DegC,19.567,19.563,0.004,8.813,8.254,1.855,0.979
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.433,-7.507,-0.926,86.797,86.711,13.267,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.178,-43.231,-0.947,28.895,29.958,13.047,0.903
LWCF global ceres_ebaf_toa_v4.1,W m-2,27.386,25.664,1.721,16.275,14.323,7.215,0.903
U-850mb global ERA-Interim,m s-1,1.039,1.139,-0.1,5.596,5.822,1.153,0.981
U-200mb global ERA-Interim,m s-1,14.298,12.972,1.326,15.177,16.06,3.76,0.976
Z3-500mb global ERA-Interim,hectometer,56.88,56.891,-0.01,2.395,2.614,0.29,0.997
PSL global ERA-Interim,mbar,1011.101,1011.175,-0.074,8.052,8.538,1.418,0.987
PSL global ERA5,mbar,1011.101,1011.255,-0.154,8.056,8.475,1.399,0.987
U-850mb global ERA5,m s-1,1.039,1.146,-0.107,5.602,5.841,1.167,0.98
U-200mb global ERA5,m s-1,14.299,12.915,1.383,15.182,15.989,3.779,0.976
Z3-500mb global ERA5,hectometer,56.88,56.885,-0.004,2.395,2.605,0.283,0.997
TREFHT land ERA-Interim,DegC,14.261,14.332,-0.071,18.726,20.116,2.63,0.995
TREFHT global ERA-Interim,DegC,16.507,16.115,0.392,12.918,14.303,2.215,0.992
TREFHT land ERA5,DegC,14.36,14.343,0.017,18.499,20.151,2.56,0.994
TREFHT global ERA5,DegC,16.507,16.007,0.5,12.927,14.174,2.138,0.992
