Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.854,2.69,0.164,2.096,1.934,1.22,0.823
TREFHT land_60S90N CRU,DegC,12.376,12.731,-0.355,13.513,13.11,1.877,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.414,-45.308,0.894,20.134,20.176,13.232,0.785
LWCF global ceres_ebaf_toa_v4.1,W m-2,19.082,25.813,-6.731,9.189,10.983,9.105,0.83
U-850mb global ERA-Interim,m s-1,1.238,1.097,0.141,5.551,5.4,1.203,0.976
U-200mb global ERA-Interim,m s-1,15.714,15.687,0.027,10.784,12.316,3.266,0.969
Z3-500mb global ERA-Interim,hectometer,56.223,56.618,-0.395,2.516,2.575,0.431,0.998
PSL global ERA-Interim,mbar,1009.04,1011.302,-2.261,8.218,8.142,2.794,0.98
PSL global ERA5,mbar,1009.04,1011.388,-2.348,8.218,8.066,2.848,0.981
U-850mb global ERA5,m s-1,1.238,1.081,0.157,5.551,5.411,1.241,0.975
U-200mb global ERA5,m s-1,15.714,15.654,0.06,10.784,12.247,3.238,0.968
Z3-500mb global ERA5,hectometer,56.223,56.608,-0.384,2.516,2.566,0.419,0.998
TREFHT land ERA-Interim,DegC,7.899,8.836,-0.937,19.344,18.703,2.269,0.996
TREFHT global ERA-Interim,DegC,13.673,14.411,-0.738,14.281,14.114,1.9,0.992
TREFHT land ERA5,DegC,7.899,8.834,-0.936,19.344,18.877,2.263,0.995
TREFHT global ERA5,DegC,13.673,14.269,-0.595,14.281,14.109,1.866,0.992
