Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.89,2.699,0.191,2.475,2.369,1.432,0.829
TREFHT land_60S90N CRU,DegC,4.51,5.101,-0.591,20.353,20.168,3.002,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-46.891,-49.226,2.335,32.839,36.939,18.09,0.874
LWCF global ceres_ebaf_toa_v4.1,W m-2,18.461,25.836,-7.375,12.153,14.301,10.531,0.851
U-850mb global ERA-Interim,m s-1,1.137,1.068,0.069,6.12,5.798,1.488,0.97
U-200mb global ERA-Interim,m s-1,16.856,16.981,-0.125,12.959,14.764,4.009,0.967
Z3-500mb global ERA-Interim,hectometer,56.028,56.403,-0.374,2.653,2.696,0.467,0.995
PSL global ERA-Interim,mbar,1009.344,1011.442,-2.098,8.576,8.712,3.367,0.954
PSL global ERA5,mbar,1009.344,1011.539,-2.195,8.576,8.595,3.349,0.957
U-850mb global ERA5,m s-1,1.137,1.046,0.091,6.12,5.828,1.549,0.967
U-200mb global ERA5,m s-1,16.856,16.976,-0.119,12.959,14.671,3.94,0.967
Z3-500mb global ERA5,hectometer,56.028,56.387,-0.358,2.653,2.687,0.452,0.995
TREFHT land ERA-Interim,DegC,2.249,3.152,-0.903,20.832,20.107,2.812,0.993
TREFHT global ERA-Interim,DegC,11.894,12.671,-0.777,16.394,15.886,2.372,0.991
TREFHT land ERA5,DegC,2.249,3.041,-0.793,20.832,20.517,2.961,0.991
TREFHT global ERA5,DegC,11.894,12.493,-0.599,16.394,15.94,2.469,0.989
