Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.846,2.715,0.131,2.713,2.517,1.721,0.787
TREFHT land_60S90N CRU,DegC,19.887,19.576,0.311,8.597,8.189,1.682,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.719,-43.228,-0.491,28.955,29.876,15.505,0.862
LWCF global ceres_ebaf_toa_v4.1,W m-2,19.472,25.664,-6.192,11.594,14.305,10.207,0.824
U-850mb global ERA-Interim,m s-1,1.193,1.139,0.054,6.03,5.817,1.46,0.97
U-200mb global ERA-Interim,m s-1,13.499,12.972,0.527,14.211,16.055,4.0,0.973
Z3-500mb global ERA-Interim,hectometer,56.476,56.891,-0.414,2.563,2.614,0.443,0.998
PSL global ERA-Interim,mbar,1008.703,1011.175,-2.472,8.849,8.533,2.958,0.983
PSL global ERA5,mbar,1008.703,1011.255,-2.552,8.849,8.477,3.037,0.983
U-850mb global ERA5,m s-1,1.193,1.147,0.046,6.03,5.841,1.493,0.969
U-200mb global ERA5,m s-1,13.499,12.915,0.584,14.211,15.99,4.007,0.972
Z3-500mb global ERA5,hectometer,56.476,56.885,-0.408,2.563,2.605,0.438,0.998
TREFHT land ERA-Interim,DegC,13.783,14.263,-0.481,21.125,20.358,2.298,0.996
TREFHT global ERA-Interim,DegC,15.496,16.115,-0.62,14.403,14.298,2.002,0.991
TREFHT land ERA5,DegC,13.783,14.373,-0.59,21.125,20.105,2.547,0.994
TREFHT global ERA5,DegC,15.496,16.009,-0.513,14.403,14.173,2.016,0.991
