Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.834,2.664,0.171,2.253,2.066,1.422,0.79
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.202,-42.478,0.275,22.673,21.954,15.661,0.754
LWCF global ceres_ebaf_toa_v4.1,W m-2,19.727,26.075,-6.348,10.762,11.648,9.63,0.794
U-850mb global ERA-Interim,m s-1,1.137,1.009,0.128,5.509,5.419,1.526,0.962
U-200mb global ERA-Interim,m s-1,16.857,17.09,-0.233,10.372,12.064,4.011,0.947
Z3-500mb global ERA-Interim,hectometer,56.21,56.582,-0.371,2.498,2.612,0.446,0.996
PSL global ERA-Interim,mbar,1009.091,1011.337,-2.246,7.753,8.029,3.017,0.968
PSL global ERA5,mbar,1009.091,1011.413,-2.322,7.753,7.99,3.046,0.969
U-850mb global ERA5,m s-1,1.137,0.98,0.157,5.509,5.447,1.569,0.96
U-200mb global ERA5,m s-1,16.857,17.059,-0.202,10.372,11.996,3.994,0.947
Z3-500mb global ERA5,hectometer,56.21,56.572,-0.362,2.498,2.604,0.436,0.996
TREFHT land ERA-Interim,DegC,7.474,8.552,-1.078,20.571,20.27,2.657,0.994
TREFHT global ERA-Interim,DegC,13.737,14.366,-0.629,15.018,15.023,2.25,0.99
TREFHT land ERA5,DegC,7.474,8.629,-1.156,20.571,20.235,2.723,0.993
TREFHT global ERA5,DegC,13.737,14.244,-0.507,15.018,14.913,2.273,0.989
