Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.738,2.69,0.048,2.39,1.934,1.441,0.798
TREFHT land_60S90N CRU,DegC,12.668,12.794,-0.126,14.052,13.018,2.172,0.99
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.618,0.927,-0.308,53.206,55.934,12.012,0.977
SWCF global ceres_ebaf_toa_v4.1,W m-2,-46.661,-45.313,-1.348,22.014,20.036,12.989,0.815
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.987,25.811,1.175,12.49,10.947,7.846,0.789
U-850mb global ERA-Interim,m s-1,1.169,1.097,0.073,6.22,5.404,1.488,0.976
U-200mb global ERA-Interim,m s-1,16.582,15.685,0.898,12.22,12.318,3.155,0.97
Z3-500mb global ERA-Interim,hectometer,56.655,56.618,0.037,2.724,2.575,0.222,0.998
PSL global ERA-Interim,mbar,1011.926,1011.301,0.625,9.85,8.143,2.879,0.969
PSL global ERA5,mbar,1011.926,1011.39,0.536,9.85,8.067,2.989,0.966
U-850mb global ERA5,m s-1,1.169,1.084,0.085,6.22,5.414,1.507,0.975
U-200mb global ERA5,m s-1,16.582,15.653,0.929,12.22,12.247,3.136,0.97
Z3-500mb global ERA5,hectometer,56.655,56.608,0.047,2.724,2.566,0.229,0.998
TREFHT land ERA-Interim,DegC,8.117,8.855,-0.738,19.843,18.645,2.602,0.994
TREFHT global ERA-Interim,DegC,13.655,14.414,-0.759,15.38,14.104,2.42,0.992
TREFHT land ERA5,DegC,8.117,8.853,-0.736,19.843,18.834,2.567,0.993
TREFHT global ERA5,DegC,13.655,14.27,-0.615,15.38,14.094,2.469,0.991
