Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.77,2.699,0.071,2.908,2.369,1.708,0.81
TREFHT land_60S90N CRU,DegC,4.508,5.158,-0.65,20.99,20.036,3.234,0.989
RESTOM global ceres_ebaf_toa_v4.1,W m-2,6.985,7.95,-0.965,91.567,95.88,14.452,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.521,-49.227,-2.294,40.028,36.803,15.017,0.929
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.965,25.836,0.129,15.688,14.248,9.676,0.795
U-850mb global ERA-Interim,m s-1,1.049,1.067,-0.017,6.922,5.799,1.898,0.969
U-200mb global ERA-Interim,m s-1,17.252,16.979,0.273,14.946,14.764,3.483,0.973
Z3-500mb global ERA-Interim,hectometer,56.46,56.402,0.057,2.858,2.696,0.27,0.997
PSL global ERA-Interim,mbar,1012.297,1011.441,0.856,9.94,8.711,2.799,0.968
PSL global ERA5,mbar,1012.297,1011.54,0.757,9.94,8.594,2.884,0.965
U-850mb global ERA5,m s-1,1.049,1.048,0.001,6.922,5.829,1.928,0.967
U-200mb global ERA5,m s-1,17.252,16.974,0.278,14.946,14.671,3.497,0.972
Z3-500mb global ERA5,hectometer,56.46,56.387,0.073,2.858,2.687,0.279,0.997
TREFHT land ERA-Interim,DegC,1.84,3.181,-1.342,21.872,20.051,3.503,0.993
TREFHT global ERA-Interim,DegC,11.689,12.674,-0.985,17.679,15.876,3.232,0.989
TREFHT land ERA5,DegC,1.84,3.056,-1.216,21.872,20.49,3.274,0.992
TREFHT global ERA5,DegC,11.689,12.498,-0.808,17.679,15.921,3.282,0.988
