Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.731,2.715,0.016,2.884,2.517,2.076,0.713
TREFHT land_60S90N CRU,DegC,20.606,19.638,0.969,9.037,8.134,2.452,0.971
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.994,-7.51,-1.485,83.574,86.625,15.91,0.983
SWCF global ceres_ebaf_toa_v4.1,W m-2,-46.112,-43.237,-2.875,35.977,29.707,19.911,0.837
LWCF global ceres_ebaf_toa_v4.1,W m-2,28.077,25.66,2.417,16.853,14.258,11.303,0.76
U-850mb global ERA-Interim,m s-1,1.218,1.14,0.079,6.631,5.821,1.845,0.963
U-200mb global ERA-Interim,m s-1,15.033,12.97,2.063,15.127,16.056,5.202,0.955
Z3-500mb global ERA-Interim,hectometer,56.93,56.89,0.04,2.801,2.614,0.294,0.997
PSL global ERA-Interim,mbar,1011.54,1011.174,0.365,10.75,8.534,3.74,0.951
PSL global ERA5,mbar,1011.54,1011.258,0.282,10.75,8.476,3.812,0.949
U-850mb global ERA5,m s-1,1.218,1.15,0.068,6.631,5.84,1.881,0.962
U-200mb global ERA5,m s-1,15.033,12.914,2.119,15.127,15.99,5.213,0.955
Z3-500mb global ERA5,hectometer,56.93,56.885,0.046,2.801,2.605,0.301,0.997
TREFHT land ERA-Interim,DegC,14.589,14.268,0.321,21.036,20.305,2.65,0.993
TREFHT global ERA-Interim,DegC,15.65,16.116,-0.467,15.234,14.287,2.28,0.991
TREFHT land ERA5,DegC,14.589,14.386,0.203,21.036,20.056,2.804,0.992
TREFHT global ERA5,DegC,15.65,16.004,-0.354,15.234,14.164,2.324,0.99
