Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.739,2.664,0.076,2.634,2.066,1.664,0.776
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.658,1.448,-0.79,69.168,71.944,14.283,0.98
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.717,-42.485,-1.232,24.352,21.769,15.38,0.785
LWCF global ceres_ebaf_toa_v4.1,W m-2,27.253,26.074,1.179,13.293,11.601,8.974,0.753
U-850mb global ERA-Interim,m s-1,1.116,1.008,0.109,6.16,5.424,1.568,0.97
U-200mb global ERA-Interim,m s-1,17.201,17.087,0.115,12.102,12.067,3.455,0.959
Z3-500mb global ERA-Interim,hectometer,56.625,56.581,0.044,2.722,2.612,0.232,0.997
PSL global ERA-Interim,mbar,1011.969,1011.336,0.632,9.426,8.029,2.895,0.96
PSL global ERA5,mbar,1011.969,1011.415,0.553,9.426,7.992,2.949,0.958
U-850mb global ERA5,m s-1,1.116,0.982,0.134,6.16,5.451,1.591,0.969
U-200mb global ERA5,m s-1,17.201,17.058,0.143,12.102,11.997,3.445,0.959
Z3-500mb global ERA5,hectometer,56.625,56.572,0.053,2.722,2.604,0.236,0.997
TREFHT land ERA-Interim,DegC,7.486,8.574,-1.089,21.193,20.199,3.255,0.991
TREFHT global ERA-Interim,DegC,13.618,14.37,-0.751,16.196,15.01,2.585,0.99
TREFHT land ERA5,DegC,7.486,8.651,-1.165,21.193,20.187,3.264,0.99
TREFHT global ERA5,DegC,13.618,14.246,-0.628,16.196,14.895,2.687,0.989
