Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.714,2.685,0.029,2.646,2.214,1.7,0.769
RESTOM global ceres_ebaf_toa_v4.1,W m-2,4.0,1.983,2.017,70.715,73.656,14.936,0.98
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.386,-46.398,1.012,25.352,25.625,17.043,0.777
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.626,25.674,0.951,14.006,12.194,9.398,0.754
U-850mb global ERA-Interim,m s-1,1.294,1.173,0.121,6.546,5.606,1.75,0.969
U-200mb global ERA-Interim,m s-1,16.86,15.731,1.129,13.167,13.148,3.874,0.96
Z3-500mb global ERA-Interim,hectometer,56.599,56.593,0.006,2.88,2.691,0.267,0.998
PSL global ERA-Interim,mbar,1011.906,1011.254,0.651,11.006,8.892,3.266,0.97
PSL global ERA5,mbar,1011.906,1011.349,0.556,11.006,8.787,3.404,0.967
U-850mb global ERA5,m s-1,1.294,1.157,0.137,6.546,5.584,1.78,0.968
U-200mb global ERA5,m s-1,16.86,15.695,1.165,13.167,13.064,3.861,0.961
Z3-500mb global ERA5,hectometer,56.599,56.582,0.017,2.88,2.678,0.275,0.998
TREFHT land ERA-Interim,DegC,8.421,9.279,-0.858,20.245,18.854,2.827,0.994
TREFHT global ERA-Interim,DegC,13.621,14.459,-0.839,15.555,14.156,2.681,0.99
TREFHT land ERA5,DegC,8.421,9.197,-0.776,20.245,19.126,2.715,0.993
TREFHT global ERA5,DegC,13.621,14.294,-0.673,15.555,14.185,2.692,0.989
