Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.045,2.69,0.355,2.263,1.934,1.173,0.869
TREFHT land_60S90N CRU,DegC,13.511,12.759,0.752,12.872,13.078,1.882,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.698,0.926,-0.228,52.185,55.961,9.542,0.987
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.509,25.808,-2.299,12.391,10.952,5.498,0.916
U-850mb global ERA-Interim,m s-1,0.979,1.097,-0.118,5.725,5.399,1.202,0.979
U-200mb global ERA-Interim,m s-1,16.459,15.687,0.772,12.971,12.317,2.653,0.981
Z3-500mb global ERA-Interim,hectometer,56.763,56.618,0.145,2.612,2.575,0.227,0.998
PSL global ERA-Interim,mbar,1011.254,1011.302,-0.048,9.04,8.142,1.683,0.986
PSL global ERA5,mbar,1011.254,1011.39,-0.136,9.04,8.067,1.856,0.983
U-850mb global ERA5,m s-1,0.979,1.081,-0.102,5.725,5.411,1.175,0.979
U-200mb global ERA5,m s-1,16.459,15.655,0.804,12.971,12.248,2.663,0.981
Z3-500mb global ERA5,hectometer,56.763,56.608,0.156,2.612,2.566,0.237,0.998
TREFHT land ERA-Interim,DegC,8.729,8.849,-0.12,19.562,18.694,1.985,0.996
TREFHT global ERA-Interim,DegC,14.335,14.411,-0.076,14.588,14.114,1.351,0.996
TREFHT land ERA5,DegC,8.729,8.838,-0.109,19.562,18.894,2.141,0.995
TREFHT global ERA5,DegC,14.335,14.265,0.069,14.588,14.11,1.452,0.995
