Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.041,2.699,0.342,2.867,2.369,1.511,0.859
TREFHT land_60S90N CRU,DegC,5.323,5.096,0.228,19.71,20.093,2.724,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.431,7.947,0.484,95.218,95.889,12.318,0.992
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.918,25.831,-2.913,17.114,14.26,7.822,0.909
U-850mb global ERA-Interim,m s-1,0.968,1.068,-0.1,6.319,5.797,1.649,0.967
U-200mb global ERA-Interim,m s-1,17.219,16.982,0.237,16.277,14.766,3.878,0.974
Z3-500mb global ERA-Interim,hectometer,56.528,56.402,0.126,2.724,2.696,0.28,0.996
PSL global ERA-Interim,mbar,1011.459,1011.442,0.016,9.749,8.712,2.215,0.977
PSL global ERA5,mbar,1011.459,1011.541,-0.082,9.749,8.595,2.404,0.974
U-850mb global ERA5,m s-1,0.968,1.046,-0.078,6.319,5.828,1.604,0.968
U-200mb global ERA5,m s-1,17.219,16.976,0.243,16.277,14.674,3.867,0.974
Z3-500mb global ERA5,hectometer,56.528,56.386,0.142,2.724,2.687,0.292,0.996
TREFHT land ERA-Interim,DegC,2.573,3.164,-0.591,20.821,20.074,2.469,0.994
TREFHT global ERA-Interim,DegC,12.477,12.67,-0.193,16.361,15.887,1.574,0.996
TREFHT land ERA5,DegC,2.573,3.07,-0.496,20.821,20.505,2.303,0.994
TREFHT global ERA5,DegC,12.477,12.49,-0.013,16.361,15.941,1.561,0.996
