Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.116,2.715,0.401,3.032,2.517,1.646,0.85
TREFHT land_60S90N CRU,DegC,20.748,19.633,1.115,8.394,8.163,2.269,0.973
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.16,-7.508,-0.653,85.389,86.649,12.488,0.99
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.643,25.662,-2.019,16.208,14.264,7.195,0.905
U-850mb global ERA-Interim,m s-1,0.889,1.139,-0.25,6.317,5.817,1.539,0.972
U-200mb global ERA-Interim,m s-1,14.151,12.972,1.178,16.747,16.056,3.17,0.985
Z3-500mb global ERA-Interim,hectometer,57.058,56.89,0.168,2.704,2.613,0.261,0.998
PSL global ERA-Interim,mbar,1011.104,1011.175,-0.071,9.579,8.533,2.177,0.978
PSL global ERA5,mbar,1011.104,1011.257,-0.153,9.579,8.476,2.277,0.976
U-850mb global ERA5,m s-1,0.889,1.146,-0.258,6.317,5.843,1.555,0.971
U-200mb global ERA5,m s-1,14.151,12.915,1.235,16.747,15.99,3.229,0.984
Z3-500mb global ERA5,hectometer,57.058,56.885,0.173,2.704,2.605,0.271,0.998
TREFHT land ERA-Interim,DegC,14.519,14.276,0.243,21.282,20.364,2.339,0.995
TREFHT global ERA-Interim,DegC,16.109,16.114,-0.005,14.943,14.296,1.624,0.995
TREFHT land ERA5,DegC,14.519,14.355,0.164,21.282,20.143,2.668,0.994
TREFHT global ERA5,DegC,16.109,16.005,0.103,14.943,14.176,1.803,0.994
