Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.032,2.664,0.368,2.504,2.066,1.41,0.84
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.28,1.448,-0.168,69.021,71.973,10.714,0.989
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.282,26.07,-1.789,14.182,11.609,7.635,0.853
U-850mb global ERA-Interim,m s-1,0.941,1.009,-0.068,5.665,5.418,1.266,0.975
U-200mb global ERA-Interim,m s-1,17.968,17.09,0.878,12.816,12.062,3.264,0.97
Z3-500mb global ERA-Interim,hectometer,56.723,56.581,0.142,2.619,2.612,0.233,0.998
PSL global ERA-Interim,mbar,1011.267,1011.337,-0.07,8.749,8.029,1.704,0.983
PSL global ERA5,mbar,1011.267,1011.415,-0.148,8.749,7.99,1.85,0.98
U-850mb global ERA5,m s-1,0.941,0.981,-0.039,5.665,5.447,1.275,0.974
U-200mb global ERA5,m s-1,17.968,17.06,0.909,12.816,11.995,3.303,0.969
Z3-500mb global ERA5,hectometer,56.723,56.572,0.151,2.619,2.604,0.241,0.997
TREFHT land ERA-Interim,DegC,8.523,8.568,-0.045,21.044,20.255,2.132,0.996
TREFHT global ERA-Interim,DegC,14.327,14.365,-0.038,15.486,15.023,1.478,0.996
TREFHT land ERA5,DegC,8.523,8.631,-0.108,21.044,20.252,2.426,0.994
TREFHT global ERA5,DegC,14.327,14.241,0.086,15.486,14.914,1.659,0.995
