Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.993,2.685,0.308,2.715,2.214,1.42,0.861
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.419,1.982,-0.564,70.915,73.674,11.181,0.989
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.177,25.67,-2.493,14.851,12.205,7.338,0.888
U-850mb global ERA-Interim,m s-1,1.121,1.173,-0.051,6.052,5.601,1.386,0.975
U-200mb global ERA-Interim,m s-1,16.515,15.732,0.783,13.899,13.151,2.656,0.984
Z3-500mb global ERA-Interim,hectometer,56.739,56.594,0.145,2.771,2.691,0.241,0.998
PSL global ERA-Interim,mbar,1011.189,1011.255,-0.066,10.195,8.892,2.083,0.985
PSL global ERA5,mbar,1011.189,1011.35,-0.161,10.195,8.787,2.264,0.983
U-850mb global ERA5,m s-1,1.121,1.153,-0.032,6.052,5.583,1.38,0.975
U-200mb global ERA5,m s-1,16.515,15.697,0.818,13.899,13.067,2.68,0.984
Z3-500mb global ERA5,hectometer,56.739,56.582,0.156,2.771,2.678,0.254,0.998
TREFHT land ERA-Interim,DegC,9.171,9.27,-0.099,20.024,18.902,2.231,0.996
TREFHT global ERA-Interim,DegC,14.386,14.455,-0.069,14.672,14.165,1.555,0.995
TREFHT land ERA5,DegC,9.171,9.175,-0.004,20.024,19.187,2.308,0.994
TREFHT global ERA5,DegC,14.386,14.287,0.099,14.672,14.202,1.609,0.994
