Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.896,2.69,0.205,2.124,1.934,0.968,0.895
TREFHT land_60S90N CRU,DegC,11.966,12.731,-0.765,12.723,13.11,1.902,0.992
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.813,0.926,-0.113,55.265,55.988,7.341,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.76,-45.308,-3.452,20.494,20.176,9.482,0.906
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.633,25.813,-2.181,11.29,10.983,5.103,0.915
U-850mb global ERA-Interim,m s-1,1.129,1.097,0.032,5.73,5.4,1.026,0.984
U-200mb global ERA-Interim,m s-1,16.288,15.687,0.602,11.744,12.316,2.218,0.985
Z3-500mb global ERA-Interim,hectometer,56.338,56.618,-0.28,2.637,2.575,0.316,0.999
PSL global ERA-Interim,mbar,1010.482,1011.302,-0.819,8.912,8.142,2.006,0.981
PSL global ERA5,mbar,1010.482,1011.388,-0.906,8.912,8.066,2.187,0.977
U-850mb global ERA5,m s-1,1.129,1.081,0.048,5.73,5.411,1.015,0.985
U-200mb global ERA5,m s-1,16.288,15.654,0.634,11.744,12.247,2.234,0.985
Z3-500mb global ERA5,hectometer,56.338,56.608,-0.27,2.637,2.566,0.308,0.999
TREFHT land ERA-Interim,DegC,7.517,8.836,-1.319,18.803,18.703,2.079,0.997
TREFHT global ERA-Interim,DegC,13.333,14.411,-1.078,14.278,14.114,1.518,0.997
TREFHT land ERA5,DegC,7.517,8.834,-1.317,18.803,18.877,2.046,0.997
TREFHT global ERA5,DegC,13.333,14.269,-0.936,14.278,14.109,1.479,0.997
