Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.965,2.715,0.25,2.864,2.517,1.381,0.88
TREFHT land_60S90N CRU,DegC,18.938,19.576,-0.638,8.893,8.189,2.051,0.978
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.161,-7.507,-0.654,87.276,86.684,11.422,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.131,-43.228,-4.903,32.326,29.876,14.291,0.91
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.102,25.664,-1.562,16.009,14.305,7.418,0.892
U-850mb global ERA-Interim,m s-1,1.225,1.139,0.086,6.268,5.817,1.553,0.969
U-200mb global ERA-Interim,m s-1,13.839,12.972,0.867,15.873,16.055,3.011,0.984
Z3-500mb global ERA-Interim,hectometer,56.64,56.891,-0.251,2.705,2.614,0.344,0.997
PSL global ERA-Interim,mbar,1010.289,1011.175,-0.886,9.184,8.533,2.646,0.963
PSL global ERA5,mbar,1010.289,1011.255,-0.966,9.184,8.477,2.731,0.961
U-850mb global ERA5,m s-1,1.225,1.147,0.078,6.268,5.841,1.536,0.97
U-200mb global ERA5,m s-1,13.839,12.915,0.924,15.873,15.99,3.107,0.983
Z3-500mb global ERA5,hectometer,56.64,56.885,-0.245,2.705,2.605,0.342,0.997
TREFHT land ERA-Interim,DegC,13.082,14.263,-1.181,20.544,20.358,2.08,0.997
TREFHT global ERA-Interim,DegC,15.115,16.115,-1.001,14.503,14.298,1.533,0.997
TREFHT land ERA5,DegC,13.082,14.373,-1.291,20.544,20.105,2.324,0.996
TREFHT global ERA5,DegC,15.115,16.009,-0.894,14.503,14.173,1.606,0.996
