Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.869,2.664,0.205,2.334,2.066,1.179,0.868
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.317,1.448,-0.13,71.66,72.007,8.358,0.993
SWCF global ceres_ebaf_toa_v4.1,W m-2,-46.028,-42.478,-3.55,22.667,21.954,11.358,0.884
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.155,26.075,-1.92,11.982,11.648,6.555,0.86
U-850mb global ERA-Interim,m s-1,0.998,1.009,-0.012,5.822,5.419,1.14,0.982
U-200mb global ERA-Interim,m s-1,17.67,17.09,0.58,11.919,12.064,2.797,0.974
Z3-500mb global ERA-Interim,hectometer,56.291,56.582,-0.29,2.664,2.612,0.327,0.999
PSL global ERA-Interim,mbar,1010.548,1011.337,-0.788,8.893,8.029,2.206,0.975
PSL global ERA5,mbar,1010.548,1011.413,-0.865,8.893,7.99,2.371,0.971
U-850mb global ERA5,m s-1,0.998,0.98,0.017,5.822,5.447,1.158,0.981
U-200mb global ERA5,m s-1,17.67,17.059,0.611,11.919,11.996,2.817,0.974
Z3-500mb global ERA5,hectometer,56.291,56.572,-0.281,2.664,2.604,0.321,0.999
TREFHT land ERA-Interim,DegC,6.946,8.552,-1.606,20.147,20.27,2.474,0.997
TREFHT global ERA-Interim,DegC,13.307,14.366,-1.06,15.093,15.023,1.735,0.996
TREFHT land ERA5,DegC,6.946,8.629,-1.683,20.147,20.235,2.505,0.996
TREFHT global ERA5,DegC,13.307,14.244,-0.937,15.093,14.913,1.743,0.995
