Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.942,2.69,0.251,2.046,1.934,1.041,0.873
TREFHT land_60S90N CRU,DegC,12.539,12.731,-0.192,12.692,13.11,1.797,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.598,0.926,-0.328,55.559,55.988,7.641,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.445,-45.308,-3.137,19.615,20.176,9.361,0.902
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.287,25.813,-1.527,11.021,10.983,5.088,0.903
U-850mb global ERA-Interim,m s-1,1.183,1.097,0.085,5.769,5.4,1.051,0.984
U-200mb global ERA-Interim,m s-1,16.352,15.687,0.665,11.99,12.316,2.227,0.985
Z3-500mb global ERA-Interim,hectometer,56.469,56.618,-0.149,2.649,2.575,0.204,0.999
PSL global ERA-Interim,mbar,1010.523,1011.302,-0.779,9.209,8.142,2.176,0.98
PSL global ERA5,mbar,1010.523,1011.388,-0.865,9.209,8.066,2.359,0.976
U-850mb global ERA5,m s-1,1.183,1.081,0.101,5.769,5.411,1.043,0.984
U-200mb global ERA5,m s-1,16.352,15.654,0.698,11.99,12.247,2.238,0.985
Z3-500mb global ERA5,hectometer,56.469,56.608,-0.139,2.649,2.566,0.199,0.999
TREFHT land ERA-Interim,DegC,8.025,8.836,-0.811,18.927,18.703,1.834,0.997
TREFHT global ERA-Interim,DegC,13.915,14.411,-0.497,14.265,14.114,1.306,0.996
TREFHT land ERA5,DegC,8.025,8.834,-0.809,18.927,18.877,1.819,0.997
TREFHT global ERA5,DegC,13.915,14.269,-0.354,14.265,14.109,1.303,0.996
