Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.921,2.699,0.221,2.779,2.369,1.377,0.873
TREFHT land_60S90N CRU,DegC,4.964,5.101,-0.137,18.831,20.168,2.907,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.259,7.943,0.316,96.323,95.917,9.736,0.995
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.037,-49.226,-1.812,37.871,36.939,11.863,0.951
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.329,25.836,-2.507,15.247,14.301,6.938,0.906
U-850mb global ERA-Interim,m s-1,1.001,1.068,-0.067,6.357,5.798,1.417,0.977
U-200mb global ERA-Interim,m s-1,17.031,16.981,0.049,15.172,14.764,2.542,0.986
Z3-500mb global ERA-Interim,hectometer,56.233,56.403,-0.17,2.746,2.696,0.247,0.998
PSL global ERA-Interim,mbar,1010.708,1011.442,-0.735,9.221,8.712,1.911,0.982
PSL global ERA5,mbar,1010.708,1011.539,-0.832,9.221,8.595,2.096,0.979
U-850mb global ERA5,m s-1,1.001,1.046,-0.045,6.357,5.828,1.383,0.978
U-200mb global ERA5,m s-1,17.031,16.976,0.055,15.172,14.671,2.477,0.987
Z3-500mb global ERA5,hectometer,56.233,56.387,-0.154,2.746,2.687,0.237,0.998
TREFHT land ERA-Interim,DegC,2.22,3.152,-0.932,20.135,20.107,2.679,0.993
TREFHT global ERA-Interim,DegC,12.063,12.671,-0.608,16.229,15.886,1.857,0.994
TREFHT land ERA5,DegC,2.22,3.041,-0.821,20.135,20.517,2.342,0.995
TREFHT global ERA5,DegC,12.063,12.493,-0.43,16.229,15.94,1.806,0.994
