Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.019,2.715,0.304,2.811,2.517,1.476,0.859
TREFHT land_60S90N CRU,DegC,19.347,19.576,-0.229,8.836,8.189,1.912,0.979
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-7.936,-7.507,-0.429,88.046,86.684,11.16,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.84,-43.228,-4.612,32.113,29.876,14.199,0.909
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.811,25.664,-0.854,15.791,14.305,7.466,0.883
U-850mb global ERA-Interim,m s-1,1.302,1.139,0.163,6.204,5.817,1.517,0.97
U-200mb global ERA-Interim,m s-1,14.433,12.972,1.461,15.611,16.055,3.646,0.978
Z3-500mb global ERA-Interim,hectometer,56.767,56.891,-0.124,2.71,2.614,0.252,0.997
PSL global ERA-Interim,mbar,1010.348,1011.175,-0.827,9.461,8.533,2.64,0.966
PSL global ERA5,mbar,1010.348,1011.255,-0.907,9.461,8.477,2.74,0.964
U-850mb global ERA5,m s-1,1.302,1.147,0.156,6.204,5.841,1.524,0.97
U-200mb global ERA5,m s-1,14.433,12.915,1.518,15.611,15.99,3.709,0.977
Z3-500mb global ERA5,hectometer,56.767,56.885,-0.118,2.71,2.605,0.252,0.997
TREFHT land ERA-Interim,DegC,13.539,14.263,-0.725,20.372,20.358,1.798,0.997
TREFHT global ERA-Interim,DegC,15.706,16.115,-0.41,14.275,14.298,1.354,0.996
TREFHT land ERA5,DegC,13.539,14.373,-0.834,20.372,20.105,2.035,0.996
TREFHT global ERA5,DegC,15.706,16.009,-0.303,14.275,14.173,1.438,0.995
