Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.978,2.689,0.289,2.14,1.899,1.517,0.734
TREFHT land_60S90N CRU,DegC,13.433,12.838,0.596,14.017,13.047,2.208,0.99
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.569,0.932,-0.362,55.42,55.936,11.83,0.977
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.712,-45.306,-3.406,17.477,20.04,13.999,0.746
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.029,25.809,-4.78,7.812,10.937,8.541,0.764
U-850mb global ERA-Interim,m s-1,1.082,1.096,-0.014,5.18,5.401,1.408,0.966
U-200mb global ERA-Interim,m s-1,17.191,15.686,1.505,11.899,12.316,4.286,0.946
Z3-500mb global ERA-Interim,hectometer,56.356,56.618,-0.262,2.603,2.575,0.352,0.996
PSL global ERA-Interim,mbar,1009.962,1011.303,-1.341,7.723,8.143,2.161,0.979
PSL global ERA5,mbar,1009.962,1011.392,-1.43,7.723,8.068,2.221,0.978
U-850mb global ERA5,m s-1,1.082,1.077,0.005,5.18,5.415,1.466,0.964
U-200mb global ERA5,m s-1,17.191,15.654,1.537,11.899,12.247,4.265,0.946
Z3-500mb global ERA5,hectometer,56.356,56.608,-0.251,2.603,2.566,0.341,0.996
TREFHT land ERA-Interim,DegC,8.855,8.865,-0.01,19.917,18.68,2.417,0.995
TREFHT global ERA-Interim,DegC,14.41,14.406,0.004,14.946,14.116,1.978,0.992
TREFHT land ERA5,DegC,8.855,8.811,0.044,19.917,18.843,2.432,0.994
TREFHT global ERA5,DegC,14.41,14.256,0.153,14.946,14.113,2.026,0.992
