Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.008,2.697,0.31,2.591,2.331,1.78,0.751
TREFHT land_60S90N CRU,DegC,6.744,5.234,1.51,19.602,20.072,3.596,0.986
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.436,7.959,0.477,96.564,95.884,14.017,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.334,-49.223,-2.111,31.918,36.794,17.551,0.881
LWCF global ceres_ebaf_toa_v4.1,W m-2,20.728,25.831,-5.103,10.377,14.238,10.445,0.769
U-850mb global ERA-Interim,m s-1,1.15,1.066,0.084,5.642,5.798,1.757,0.954
U-200mb global ERA-Interim,m s-1,18.183,16.981,1.202,14.594,14.764,5.64,0.93
Z3-500mb global ERA-Interim,hectometer,56.172,56.402,-0.23,2.797,2.696,0.395,0.994
PSL global ERA-Interim,mbar,1010.189,1011.443,-1.254,8.261,8.712,2.865,0.955
PSL global ERA5,mbar,1010.189,1011.542,-1.353,8.261,8.597,2.94,0.953
U-850mb global ERA5,m s-1,1.15,1.042,0.109,5.642,5.83,1.832,0.951
U-200mb global ERA5,m s-1,18.183,16.975,1.208,14.594,14.672,5.629,0.929
Z3-500mb global ERA5,hectometer,56.172,56.387,-0.214,2.797,2.687,0.386,0.994
TREFHT land ERA-Interim,DegC,4.096,3.215,0.881,20.611,20.072,2.895,0.991
TREFHT global ERA-Interim,DegC,12.866,12.665,0.201,16.6,15.89,2.37,0.99
TREFHT land ERA5,DegC,4.096,3.102,0.994,20.611,20.472,2.979,0.991
TREFHT global ERA5,DegC,12.866,12.479,0.387,16.6,15.948,2.507,0.989
