Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.968,2.661,0.308,2.503,2.025,1.996,0.639
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-1.136,1.443,-2.579,71.138,71.938,13.833,0.982
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.12,-42.473,-4.647,20.873,21.77,17.091,0.703
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.366,26.072,-4.706,9.252,11.589,10.595,0.605
U-850mb global ERA-Interim,m s-1,1.045,1.008,0.037,5.334,5.42,1.659,0.953
U-200mb global ERA-Interim,m s-1,18.345,17.089,1.256,12.228,12.064,5.139,0.916
Z3-500mb global ERA-Interim,hectometer,56.349,56.581,-0.232,2.654,2.612,0.355,0.995
PSL global ERA-Interim,mbar,1010.006,1011.338,-1.331,8.069,8.029,2.318,0.972
PSL global ERA5,mbar,1010.006,1011.417,-1.411,8.069,7.991,2.37,0.972
U-850mb global ERA5,m s-1,1.045,0.977,0.068,5.334,5.451,1.719,0.95
U-200mb global ERA5,m s-1,18.345,17.059,1.287,12.228,11.997,5.136,0.916
Z3-500mb global ERA5,hectometer,56.349,56.572,-0.223,2.654,2.605,0.346,0.995
TREFHT land ERA-Interim,DegC,8.315,8.588,-0.273,20.946,20.247,2.741,0.992
TREFHT global ERA-Interim,DegC,14.405,14.36,0.045,15.614,15.025,2.167,0.991
TREFHT land ERA5,DegC,8.315,8.594,-0.279,20.946,20.202,2.802,0.991
TREFHT global ERA5,DegC,14.405,14.232,0.173,15.614,14.919,2.233,0.99
