Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.943,2.685,0.258,2.505,2.169,1.646,0.767
RESTOM global ceres_ebaf_toa_v4.1,W m-2,3.386,1.992,1.393,73.729,73.661,14.43,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.836,-46.395,-2.44,22.113,25.631,17.385,0.75
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.078,25.673,-4.595,9.702,12.188,9.181,0.759
U-850mb global ERA-Interim,m s-1,1.17,1.172,-0.001,5.481,5.603,1.682,0.955
U-200mb global ERA-Interim,m s-1,16.885,15.732,1.154,12.781,13.148,4.465,0.945
Z3-500mb global ERA-Interim,hectometer,56.305,56.593,-0.288,2.716,2.691,0.404,0.995
PSL global ERA-Interim,mbar,1009.97,1011.256,-1.285,8.101,8.892,2.635,0.968
PSL global ERA5,mbar,1009.97,1011.351,-1.381,8.101,8.787,2.661,0.967
U-850mb global ERA5,m s-1,1.17,1.148,0.023,5.481,5.586,1.736,0.952
U-200mb global ERA5,m s-1,16.885,15.696,1.189,12.781,13.064,4.418,0.946
Z3-500mb global ERA5,hectometer,56.305,56.582,-0.277,2.716,2.678,0.394,0.995
TREFHT land ERA-Interim,DegC,9.142,9.282,-0.14,20.505,18.882,2.697,0.995
TREFHT global ERA-Interim,DegC,14.326,14.451,-0.125,15.149,14.166,2.095,0.992
TREFHT land ERA5,DegC,9.142,9.148,-0.006,20.505,19.132,2.611,0.994
TREFHT global ERA5,DegC,14.326,14.277,0.049,15.149,14.203,2.105,0.992
