Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.975,2.689,0.285,2.144,1.899,1.528,0.73
TREFHT land_60S90N CRU,DegC,13.377,12.838,0.54,14.086,13.047,2.217,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.564,0.932,-0.368,55.386,55.936,11.822,0.978
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.67,-45.306,-3.363,17.588,20.04,13.968,0.748
LWCF global ceres_ebaf_toa_v4.1,W m-2,20.986,25.809,-4.823,7.818,10.937,8.577,0.763
U-850mb global ERA-Interim,m s-1,1.07,1.096,-0.026,5.232,5.401,1.398,0.967
U-200mb global ERA-Interim,m s-1,17.109,15.686,1.423,11.856,12.316,4.135,0.949
Z3-500mb global ERA-Interim,hectometer,56.346,56.618,-0.272,2.615,2.575,0.356,0.996
PSL global ERA-Interim,mbar,1009.965,1011.303,-1.338,7.782,8.143,2.124,0.98
PSL global ERA5,mbar,1009.965,1011.392,-1.427,7.782,8.068,2.189,0.979
U-850mb global ERA5,m s-1,1.07,1.077,-0.008,5.232,5.415,1.457,0.964
U-200mb global ERA5,m s-1,17.109,15.654,1.456,11.856,12.247,4.114,0.95
Z3-500mb global ERA5,hectometer,56.346,56.608,-0.261,2.615,2.566,0.346,0.996
TREFHT land ERA-Interim,DegC,8.782,8.865,-0.084,20.0,18.68,2.471,0.995
TREFHT global ERA-Interim,DegC,14.342,14.406,-0.063,15.013,14.116,2.001,0.992
TREFHT land ERA5,DegC,8.782,8.811,-0.029,20.0,18.843,2.481,0.994
TREFHT global ERA5,DegC,14.342,14.256,0.086,15.013,14.113,2.049,0.992
