Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.004,2.697,0.307,2.586,2.331,1.772,0.753
TREFHT land_60S90N CRU,DegC,6.683,5.234,1.449,19.713,20.072,3.517,0.987
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.415,7.959,0.456,96.455,95.884,14.049,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.207,-49.223,-1.984,31.963,36.794,17.309,0.884
LWCF global ceres_ebaf_toa_v4.1,W m-2,20.638,25.831,-5.193,10.305,14.238,10.462,0.772
U-850mb global ERA-Interim,m s-1,1.107,1.066,0.041,5.635,5.798,1.752,0.955
U-200mb global ERA-Interim,m s-1,18.16,16.981,1.179,14.429,14.764,5.462,0.934
Z3-500mb global ERA-Interim,hectometer,56.164,56.402,-0.239,2.799,2.696,0.408,0.993
PSL global ERA-Interim,mbar,1010.195,1011.443,-1.248,8.113,8.712,2.861,0.956
PSL global ERA5,mbar,1010.195,1011.542,-1.347,8.113,8.597,2.924,0.953
U-850mb global ERA5,m s-1,1.107,1.042,0.065,5.635,5.83,1.827,0.951
U-200mb global ERA5,m s-1,18.16,16.975,1.185,14.429,14.672,5.446,0.933
Z3-500mb global ERA5,hectometer,56.164,56.387,-0.223,2.799,2.687,0.398,0.994
TREFHT land ERA-Interim,DegC,4.028,3.215,0.813,20.712,20.072,2.886,0.991
TREFHT global ERA-Interim,DegC,12.802,12.665,0.137,16.677,15.89,2.432,0.99
TREFHT land ERA5,DegC,4.028,3.102,0.926,20.712,20.472,2.967,0.991
TREFHT global ERA5,DegC,12.802,12.479,0.323,16.677,15.948,2.567,0.989
