Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.984,2.715,0.269,2.903,2.462,2.022,0.733
TREFHT land_60S90N CRU,DegC,19.786,19.64,0.146,9.905,8.143,2.777,0.972
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.123,-7.503,-0.621,87.471,86.612,16.212,0.983
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.67,-43.231,-4.439,30.932,29.706,16.322,0.867
LWCF global ceres_ebaf_toa_v4.1,W m-2,20.945,25.66,-4.714,11.22,14.241,9.787,0.798
U-850mb global ERA-Interim,m s-1,0.976,1.138,-0.162,5.692,5.819,1.661,0.96
U-200mb global ERA-Interim,m s-1,15.203,12.972,2.232,14.458,16.055,4.938,0.964
Z3-500mb global ERA-Interim,hectometer,56.58,56.89,-0.31,2.597,2.614,0.367,0.997
PSL global ERA-Interim,mbar,1009.694,1011.176,-1.482,8.306,8.533,2.46,0.973
PSL global ERA5,mbar,1009.694,1011.259,-1.565,8.306,8.477,2.538,0.972
U-850mb global ERA5,m s-1,0.976,1.143,-0.167,5.692,5.846,1.75,0.956
U-200mb global ERA5,m s-1,15.203,12.914,2.289,14.458,15.99,4.962,0.963
Z3-500mb global ERA5,hectometer,56.58,56.885,-0.305,2.597,2.605,0.36,0.997
TREFHT land ERA-Interim,DegC,13.684,14.258,-0.574,21.691,20.354,3.326,0.991
TREFHT global ERA-Interim,DegC,15.931,16.11,-0.179,15.045,14.298,2.314,0.989
TREFHT land ERA5,DegC,13.684,14.28,-0.596,21.691,20.082,3.473,0.99
TREFHT global ERA5,DegC,15.931,15.999,-0.068,15.045,14.177,2.363,0.989
