Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.941,2.685,0.256,2.488,2.169,1.681,0.754
RESTOM global ceres_ebaf_toa_v4.1,W m-2,3.258,1.992,1.266,73.707,73.661,14.432,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.79,-46.395,-2.395,22.216,25.631,17.576,0.744
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.024,25.673,-4.65,9.703,12.188,9.397,0.744
U-850mb global ERA-Interim,m s-1,1.115,1.172,-0.057,5.526,5.603,1.658,0.957
U-200mb global ERA-Interim,m s-1,16.715,15.732,0.983,12.844,13.148,4.363,0.947
Z3-500mb global ERA-Interim,hectometer,56.294,56.593,-0.299,2.719,2.691,0.403,0.995
PSL global ERA-Interim,mbar,1009.976,1011.256,-1.28,8.145,8.892,2.496,0.972
PSL global ERA5,mbar,1009.976,1011.351,-1.375,8.145,8.787,2.524,0.972
U-850mb global ERA5,m s-1,1.115,1.148,-0.033,5.526,5.586,1.713,0.953
U-200mb global ERA5,m s-1,16.715,15.696,1.019,12.844,13.064,4.318,0.948
Z3-500mb global ERA5,hectometer,56.294,56.582,-0.288,2.719,2.678,0.393,0.995
TREFHT land ERA-Interim,DegC,8.993,9.282,-0.289,20.594,18.882,2.785,0.995
TREFHT global ERA-Interim,DegC,14.236,14.451,-0.215,15.231,14.166,2.134,0.992
TREFHT land ERA5,DegC,8.993,9.148,-0.156,20.594,19.132,2.682,0.994
TREFHT global ERA5,DegC,14.236,14.277,-0.041,15.231,14.203,2.139,0.992
