Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.007,2.715,0.291,3.069,2.462,2.215,0.705
TREFHT land_60S90N CRU,DegC,20.665,19.64,1.025,9.498,8.143,2.984,0.961
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-7.809,-7.503,-0.307,88.127,86.612,15.732,0.984
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.25,-43.231,-4.019,30.361,29.706,16.479,0.859
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.139,25.66,-4.521,11.392,14.241,10.185,0.768
U-850mb global ERA-Interim,m s-1,0.754,1.138,-0.384,5.553,5.819,1.799,0.955
U-200mb global ERA-Interim,m s-1,15.139,12.972,2.167,13.794,16.055,5.83,0.945
Z3-500mb global ERA-Interim,hectometer,56.446,56.89,-0.444,2.461,2.614,0.509,0.997
PSL global ERA-Interim,mbar,1007.135,1011.176,-4.041,7.698,8.533,4.636,0.966
PSL global ERA5,mbar,1007.135,1011.259,-4.124,7.698,8.477,4.711,0.965
U-850mb global ERA5,m s-1,0.754,1.143,-0.389,5.553,5.846,1.884,0.951
U-200mb global ERA5,m s-1,15.139,12.914,2.224,13.794,15.99,5.855,0.944
Z3-500mb global ERA5,hectometer,56.446,56.885,-0.438,2.461,2.605,0.5,0.997
TREFHT land ERA-Interim,DegC,14.726,14.258,0.468,21.132,20.354,3.282,0.989
TREFHT global ERA-Interim,DegC,16.533,16.11,0.423,14.56,14.298,2.29,0.988
TREFHT land ERA5,DegC,14.726,14.28,0.446,21.132,20.082,3.594,0.986
TREFHT global ERA5,DegC,16.533,15.999,0.533,14.56,14.177,2.372,0.987
