Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.995,2.661,0.335,2.638,2.025,2.116,0.627
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-1.051,1.443,-2.494,71.526,71.938,13.716,0.982
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.21,-42.473,-4.737,20.717,21.77,17.235,0.697
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.652,26.072,-4.419,9.604,11.589,10.727,0.589
U-850mb global ERA-Interim,m s-1,0.71,1.008,-0.298,5.209,5.42,1.739,0.95
U-200mb global ERA-Interim,m s-1,17.821,17.089,0.732,11.68,12.064,4.903,0.917
Z3-500mb global ERA-Interim,hectometer,56.222,56.581,-0.359,2.484,2.612,0.482,0.993
PSL global ERA-Interim,mbar,1007.433,1011.338,-3.905,7.291,8.029,4.537,0.959
PSL global ERA5,mbar,1007.433,1011.417,-3.984,7.291,7.991,4.596,0.959
U-850mb global ERA5,m s-1,0.71,0.977,-0.267,5.209,5.451,1.803,0.947
U-200mb global ERA5,m s-1,17.821,17.059,0.763,11.68,11.997,4.893,0.917
Z3-500mb global ERA5,hectometer,56.222,56.572,-0.35,2.484,2.605,0.471,0.993
TREFHT land ERA-Interim,DegC,9.354,8.588,0.766,20.208,20.247,3.075,0.989
TREFHT global ERA-Interim,DegC,15.028,14.36,0.668,14.926,15.025,2.276,0.989
TREFHT land ERA5,DegC,9.354,8.594,0.76,20.208,20.202,3.339,0.987
TREFHT global ERA5,DegC,15.028,14.232,0.796,14.926,14.919,2.338,0.989
