Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.975,2.685,0.289,2.713,2.169,1.845,0.743
RESTOM global ceres_ebaf_toa_v4.1,W m-2,2.8,1.992,0.808,74.318,73.661,14.42,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.357,-46.395,-1.961,22.164,25.631,17.91,0.732
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.218,25.673,-4.455,10.221,12.188,9.31,0.747
U-850mb global ERA-Interim,m s-1,0.887,1.172,-0.284,5.451,5.603,1.642,0.959
U-200mb global ERA-Interim,m s-1,16.427,15.732,0.696,12.385,13.148,4.296,0.947
Z3-500mb global ERA-Interim,hectometer,56.179,56.593,-0.414,2.574,2.691,0.502,0.995
PSL global ERA-Interim,mbar,1007.4,1011.256,-3.855,7.737,8.892,4.598,0.964
PSL global ERA5,mbar,1007.4,1011.351,-3.951,7.737,8.787,4.644,0.964
U-850mb global ERA5,m s-1,0.887,1.148,-0.26,5.451,5.586,1.692,0.956
U-200mb global ERA5,m s-1,16.427,15.696,0.731,12.385,13.064,4.239,0.948
Z3-500mb global ERA5,hectometer,56.179,56.582,-0.403,2.574,2.678,0.489,0.995
TREFHT land ERA-Interim,DegC,10.089,9.282,0.807,19.911,18.882,2.838,0.992
TREFHT global ERA-Interim,DegC,14.915,14.451,0.464,14.589,14.166,2.121,0.99
TREFHT land ERA5,DegC,10.089,9.148,0.941,19.911,19.132,3.112,0.989
TREFHT global ERA5,DegC,14.915,14.277,0.638,14.589,14.203,2.196,0.99
