Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.84,2.697,0.142,2.756,2.331,2.018,0.699
TREFHT land_60S90N CRU,DegC,5.039,5.234,-0.195,19.708,20.072,3.53,0.985
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.546,7.959,0.587,94.937,95.884,14.468,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.577,-49.223,-2.354,32.729,36.794,16.648,0.894
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.892,25.831,-2.939,12.589,14.238,10.046,0.75
U-850mb global ERA-Interim,m s-1,0.803,1.066,-0.263,5.723,5.798,1.749,0.956
U-200mb global ERA-Interim,m s-1,16.014,16.981,-0.967,14.598,14.764,4.803,0.949
Z3-500mb global ERA-Interim,hectometer,55.525,56.402,-0.877,2.641,2.696,0.942,0.992
PSL global ERA-Interim,mbar,1007.744,1011.443,-3.7,7.523,8.712,4.437,0.965
PSL global ERA5,mbar,1007.744,1011.542,-3.799,7.523,8.597,4.521,0.962
U-850mb global ERA5,m s-1,0.803,1.042,-0.238,5.723,5.83,1.823,0.953
U-200mb global ERA5,m s-1,16.014,16.975,-0.961,14.598,14.672,4.789,0.949
Z3-500mb global ERA5,hectometer,55.525,56.387,-0.861,2.641,2.687,0.925,0.992
TREFHT land ERA-Interim,DegC,2.666,3.215,-0.549,20.411,20.072,3.151,0.989
TREFHT global ERA-Interim,DegC,11.48,12.665,-1.185,16.535,15.89,3.024,0.986
TREFHT land ERA5,DegC,2.666,3.102,-0.436,20.411,20.472,3.343,0.987
TREFHT global ERA5,DegC,11.48,12.479,-0.999,16.535,15.948,3.096,0.984
