Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.037,2.69,0.347,2.199,1.934,1.377,0.799
TREFHT land_60S90N CRU,DegC,12.963,12.821,0.142,12.411,13.05,2.216,0.986
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.544,0.923,0.621,49.429,55.941,12.258,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-40.551,-45.312,4.761,18.473,20.038,13.019,0.805
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.266,25.81,-2.544,11.813,10.94,8.528,0.747
U-850mb global ERA-Interim,m s-1,0.879,1.097,-0.218,5.125,5.404,1.678,0.951
U-200mb global ERA-Interim,m s-1,14.391,15.687,-1.296,11.909,12.32,3.584,0.963
Z3-500mb global ERA-Interim,hectometer,56.307,56.618,-0.312,2.355,2.575,0.42,0.997
PSL global ERA-Interim,mbar,1010.611,1011.302,-0.691,7.813,8.146,2.016,0.973
PSL global ERA5,mbar,1010.611,1011.386,-0.775,7.813,8.067,1.988,0.974
U-850mb global ERA5,m s-1,0.879,1.08,-0.201,5.125,5.412,1.645,0.953
U-200mb global ERA5,m s-1,14.391,15.654,-1.263,11.909,12.247,3.553,0.963
Z3-500mb global ERA5,hectometer,56.307,56.608,-0.301,2.355,2.566,0.407,0.997
TREFHT land ERA-Interim,DegC,8.453,8.85,-0.397,18.688,18.651,2.218,0.993
TREFHT global ERA-Interim,DegC,14.072,14.411,-0.339,13.999,14.118,2.103,0.989
TREFHT land ERA5,DegC,8.453,8.901,-0.448,18.688,18.84,2.621,0.991
TREFHT global ERA5,DegC,14.072,14.272,-0.2,13.999,14.108,2.197,0.988
