Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.019,2.699,0.32,2.755,2.369,1.766,0.78
TREFHT land_60S90N CRU,DegC,4.962,5.172,-0.21,19.3,20.08,3.227,0.988
RESTOM global ceres_ebaf_toa_v4.1,W m-2,10.185,7.942,2.243,91.992,95.873,15.797,0.987
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.704,-49.228,6.524,32.091,36.808,16.66,0.91
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.56,25.831,-3.271,15.146,14.242,10.281,0.782
U-850mb global ERA-Interim,m s-1,0.914,1.067,-0.153,5.545,5.803,2.229,0.924
U-200mb global ERA-Interim,m s-1,15.087,16.981,-1.894,13.975,14.77,6.135,0.919
Z3-500mb global ERA-Interim,hectometer,56.094,56.403,-0.309,2.498,2.696,0.492,0.992
PSL global ERA-Interim,mbar,1010.925,1011.442,-0.517,8.529,8.715,2.557,0.958
PSL global ERA5,mbar,1010.925,1011.538,-0.614,8.529,8.596,2.613,0.956
U-850mb global ERA5,m s-1,0.914,1.045,-0.131,5.545,5.828,2.197,0.927
U-200mb global ERA5,m s-1,15.087,16.975,-1.888,13.975,14.671,6.082,0.92
Z3-500mb global ERA5,hectometer,56.094,56.387,-0.293,2.498,2.687,0.475,0.992
TREFHT land ERA-Interim,DegC,2.612,3.169,-0.557,19.995,20.098,2.814,0.991
TREFHT global ERA-Interim,DegC,12.124,12.672,-0.548,16.131,15.889,2.408,0.989
TREFHT land ERA5,DegC,2.612,3.171,-0.559,19.995,20.462,3.234,0.988
TREFHT global ERA5,DegC,12.124,12.497,-0.373,16.131,15.936,2.583,0.987
