Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.047,2.664,0.384,2.382,2.066,1.605,0.763
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.304,1.442,-0.138,67.339,71.946,13.349,0.984
SWCF global ceres_ebaf_toa_v4.1,W m-2,-37.839,-42.482,4.643,19.277,21.76,15.051,0.763
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.471,26.071,-2.6,12.54,11.592,10.289,0.662
U-850mb global ERA-Interim,m s-1,0.935,1.009,-0.074,5.127,5.423,1.679,0.951
U-200mb global ERA-Interim,m s-1,15.31,17.09,-1.78,11.984,12.069,4.47,0.942
Z3-500mb global ERA-Interim,hectometer,56.288,56.582,-0.294,2.41,2.612,0.414,0.996
PSL global ERA-Interim,mbar,1010.678,1011.337,-0.659,7.812,8.032,2.109,0.968
PSL global ERA5,mbar,1010.678,1011.41,-0.733,7.812,7.991,2.098,0.969
U-850mb global ERA5,m s-1,0.935,0.979,-0.045,5.127,5.448,1.675,0.952
U-200mb global ERA5,m s-1,15.31,17.059,-1.749,11.984,11.997,4.448,0.942
Z3-500mb global ERA5,hectometer,56.288,56.572,-0.284,2.41,2.604,0.402,0.997
TREFHT land ERA-Interim,DegC,8.015,8.554,-0.54,20.575,20.216,2.611,0.993
TREFHT global ERA-Interim,DegC,14.109,14.366,-0.256,14.955,15.027,2.231,0.989
TREFHT land ERA5,DegC,8.015,8.693,-0.679,20.575,20.193,3.062,0.989
TREFHT global ERA5,DegC,14.109,14.249,-0.14,14.955,14.91,2.365,0.988
