Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.81,2.69,0.121,2.176,1.893,1.56,0.716
TREFHT land_60S90N CRU,DegC,13.057,12.814,0.243,12.445,13.061,2.51,0.982
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.768,0.947,-0.179,55.495,55.959,11.576,0.978
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.69,-45.296,-2.394,26.684,20.062,17.785,0.751
LWCF global ceres_ebaf_toa_v4.1,W m-2,29.87,25.809,4.061,12.481,10.951,9.42,0.744
U-850mb global ERA-Interim,m s-1,0.601,1.097,-0.496,5.875,5.401,2.461,0.913
U-200mb global ERA-Interim,m s-1,17.531,15.686,1.845,14.004,12.316,4.933,0.948
PSL global ERA-Interim,mbar,1011.664,1011.301,0.362,7.188,8.142,3.333,0.914
PSL global ERA5,mbar,1011.664,1011.389,0.275,7.188,8.064,3.218,0.918
U-850mb global ERA5,m s-1,0.601,1.083,-0.481,5.875,5.416,2.464,0.913
U-200mb global ERA5,m s-1,17.531,15.654,1.877,14.004,12.247,4.994,0.947
TREFHT land ERA-Interim,DegC,8.725,9.012,-0.287,18.251,18.63,2.343,0.992
TREFHT global ERA-Interim,DegC,13.893,14.41,-0.518,13.902,14.122,1.77,0.993
TREFHT land ERA5,DegC,8.725,8.764,-0.039,18.251,18.912,2.492,0.992
TREFHT global ERA5,DegC,13.893,14.262,-0.369,13.902,14.117,1.786,0.992
