Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.789,2.7,0.089,2.758,2.323,1.894,0.735
TREFHT land_60S90N CRU,DegC,5.434,5.183,0.251,18.918,20.077,3.846,0.982
RESTOM global ceres_ebaf_toa_v4.1,W m-2,7.91,7.984,-0.074,91.926,95.893,16.089,0.986
SWCF global ceres_ebaf_toa_v4.1,W m-2,-53.605,-49.176,-4.43,46.235,36.828,21.928,0.891
LWCF global ceres_ebaf_toa_v4.1,W m-2,30.0,25.833,4.167,15.453,14.256,10.811,0.777
U-850mb global ERA-Interim,m s-1,0.415,1.068,-0.653,6.344,5.799,3.159,0.876
U-200mb global ERA-Interim,m s-1,18.318,16.981,1.337,16.683,14.763,5.734,0.944
PSL global ERA-Interim,mbar,1011.975,1011.441,0.534,7.365,8.713,4.886,0.83
PSL global ERA5,mbar,1011.975,1011.537,0.437,7.365,8.595,4.693,0.839
U-850mb global ERA5,m s-1,0.415,1.048,-0.633,6.344,5.833,3.199,0.872
U-200mb global ERA5,m s-1,18.318,16.975,1.342,16.683,14.671,5.765,0.944
TREFHT land ERA-Interim,DegC,2.938,3.343,-0.405,19.83,20.046,3.226,0.987
TREFHT global ERA-Interim,DegC,12.006,12.668,-0.662,15.928,15.902,2.282,0.991
TREFHT land ERA5,DegC,2.938,3.009,-0.07,19.83,20.52,3.263,0.988
TREFHT global ERA5,DegC,12.006,12.484,-0.478,15.928,15.959,2.305,0.99
