Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.895,2.71,0.185,2.766,2.435,1.941,0.731
TREFHT land_60S90N CRU,DegC,20.212,19.653,0.559,8.46,8.116,2.513,0.957
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-6.013,-7.498,1.485,86.349,86.678,14.896,0.985
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.19,-43.249,1.058,29.028,29.763,20.968,0.747
LWCF global ceres_ebaf_toa_v4.1,W m-2,29.103,25.665,3.438,16.142,14.272,11.242,0.759
U-850mb global ERA-Interim,m s-1,0.72,1.139,-0.419,6.225,5.818,2.65,0.909
U-200mb global ERA-Interim,m s-1,15.333,12.972,2.362,16.6,16.055,5.92,0.945
PSL global ERA-Interim,mbar,1011.343,1011.175,0.168,8.114,8.533,3.253,0.925
PSL global ERA5,mbar,1011.343,1011.258,0.085,8.114,8.473,3.209,0.926
U-850mb global ERA5,m s-1,0.72,1.147,-0.427,6.225,5.849,2.672,0.908
U-200mb global ERA5,m s-1,15.333,12.915,2.418,16.6,15.989,5.992,0.944
TREFHT land ERA-Interim,DegC,14.501,14.411,0.09,19.804,20.252,2.38,0.993
TREFHT global ERA-Interim,DegC,15.764,16.117,-0.353,14.071,14.3,1.837,0.992
TREFHT land ERA5,DegC,14.501,14.272,0.229,19.804,20.182,2.61,0.992
TREFHT global ERA5,DegC,15.764,16.005,-0.241,14.071,14.178,1.906,0.991
